word,analysis,sep_form
амма,амма<conj>,амма
завай,зун<prn>><ad>><elative>,за-в-ай
угъри,угъри<n><abs>,угъри
кьаз,кьа<verb>><inf>,кьа-з
жезвач,же<verb>><imperf>><neg>,же-зва-ч
хьи,хьи<part>,хьи
жезвач,же<verb>><imperf>><neg>,же-зва-ч
лагьана,лагьа<verb>><aor>,лагьа-на
бустанчи,бустанчи<n><abs>,бустанчи
Букар,букар<n><abs>,букар
халуди,халу<n>><erg>,халу-ди
шикаят,шикаят<n><abs>,шикаят
авуна,аву<verb>><aoc>,аву-на
Белки,белки<intj>,белки
кьуьзуь,кьуьзуь<adj>,кьуьзуь
хьуниз,хьу<verb>><msd>><dat>,хьу-ни-з
килигна,килигна<post>,килигна
зи,зун<prn><gen>,зи
вилериз,вил<n>><pl>><dat>,вил-ери-з
экв,экв<n><abs>,экв
аквазмач,аква<verb>><imperf.cont>><neg>,аква-зма-ч
вунни,вун<prn>><add>,вун-ни
са,са<num>,са
кьве,кьве<num>,кьве
юкъуз,юкъ<n>><dat>,юкъу-з
и,и<prn>,и
бустанда,бустан<n>><in><essive>,бустанд-а
амукь,амукь<verb><imper>,амукь
белки,белки<intj>,белки
а,а<prn>,а
къариба,къариба<adj>,къариба
угъри,угъри<n><abs>,угъри
ваз,вун<prn>><dat>,ва-з
акван,аква<verb>><hort>,аква-н
Зун,зун<prn>,зун
Букар,букар<n><abs>,букар
халудин,халу<n>><gen>,халуди-н
кьилив,кьилив<post>,кьилив
нисинлай,нисин<n>><super>><elative>,нисин-л-ай
алатайдалай,алат<verb>><aor><ptp>><sg>><super>><elative>,алат-ай-да-л-ай
кьулухъ,кьулухъ<post>,кьулухъ
ружани,ружа<n>><add>,ружа-ни
гваз,гва<cop>><cvb>,гва-з
атана,ата<verb>><aor>,ата-на
Чна,чун<prn><erg>,чна
зурба,зурба<adj>,зурба
са,са<num>,са
мегъуьн,мегъ<n>><gen>,мегъуь-н
таран,тар<n>><gen>,тара-н
танда,тан<n>><in><essive>,танд-а
кьве,кьве<num>,кьве
еке,еке<adj>,еке
хилен,хил<n>><gen>,хиле-н
арада,арада<post>,арада
эцигнавай,эциг<verb>><prf>><ptp>,эциг-нава-й
кумада,кума<n>><in><essive>,кумад-а
чка,чка<n><abs>,чка
кьуна,кьу<verb>><aor>,кьу-на
Инлай,инлай<adv>,инлай
вири,вири<prn>,вири
бустан,бустан<n><abs>,бустан
капаллай,кап<n>><super><essive>><be.on>><ptp>,капа-л-ла-й
хьиз,хьиз<conj>,хьиз
аквазва,аква<verb>><imperf>,аква-зва
ГьикӀ,гьикӀ<adv>,гьикӀ
хьана,хьа<verb>><aor>,хьа-на
халу,халу<n><abs>,халу
вуна,вун<prn><erg>,вуна
сирлу,сирлу<adj>,сирлу
угъри,угъри<n><abs>,угъри
кьунвачни,кьу<verb>><prf>><neg>><inter>,кьу-нва-ч-ни
хабар,хабар<n><abs>,хабар
кьуна,кьу<verb>><aor>,кьу-на
за,зун<prn><erg>,за
Кьунвач,кьу<verb>><prf>><neg>,кьу-нва-ч
Заз,зун<prn>><dat>,за-з
ам,а<prn><sg><abs>,ам
акур,аку<verb>><aor><ptp>,аку-р
хьиз,хьиз<conj>,хьиз
я,я<cop><imperf>,я
ам,а<prn><sg><abs>,ам
инсан,инсан<n><abs>,инсан
туш,я<cop><neg>,туш
аквар,аква<verb>><aimpp>,аква-р
гьаларай,гьал<n>><pl>><in>><elative>,гьал-ар-а-й
вагьши,вагьши<adj>,вагьши
гьайван,гьайван<n><abs>,гьайван
я,я<cop><imperf>,я
Вуч,вуч<prn>,вуч
я,я<cop><imperf>,я
Бегьем,бегьем<adv>,бегьем
кьатӀуз,кьатӀу<verb>><inf>,кьатӀу-з
жедайвал,же<verb>><fut>><ptp>><man>,же-да-й-вал
акунач,аку<verb>><aor>><neg>,аку-на-ч
хва,хва<n><abs>,хва
Ам,а<prn><sg><abs>,ам
ангье,ангье<part>,ангье
атӀа,атӀа<prn>,атӀа
бурма,бурма<adj>,бурма
куларай,кул<n>><pl>><in>><elative>,кул-ар-а-й
экъечӀна,экъечӀ<verb>><aor>,экъечӀ-на
Букар,букар<n><abs>,букар
халуди,халу<n>><erg>,халу-ди
мерейрин,мере<n>><pl>><gen>,мере-йри-н
къалин,къалин<adj>,къалин
куллух,куллух<n><abs>,куллух
къалурна,къалур<verb>><aor>,къалур-на
Гуьзетин,гуьзет<verb>><hort>,гуьзет-ин
Килигда,килиг<verb>><fut>,килиг-да
чун,чун<prn>,чун
Исятда,исятда<adv>,исятда
за,зун<prn><erg>,за
ваз,вун<prn>><dat>,ва-з
са,са<num>,са
хъсан,хъсан<adj>,хъсан
къарпуз,къарпуз<n><abs>,къарпуз
атӀуда,атӀу<verb>><fut>,атӀу-да
Хъсан,хъсан<adj>,хъсан
къарпуз,къарпуз<n><abs>,къарпуз
бустанчидиз,бустанчи<n>><dat>,бустанчиди-з
чида,чи<verb>><fut>,чи-да
Чна,чун<prn><erg>,чна
гьеле,гьеле<adv>,гьеле
ширин,ширин<adj>,ширин
ширедай,шире<n>><in>><elative>,ширед-а-й
ацӀанвай,ацӀа<verb>><prf>><ptp>,ацӀа-нва-й
сиве,сив<n>><in><essive>,сив-е
чкӀана,чкӀа<verb>><aoc>,чкӀа-на
физвай,фи<verb>><imperf>><ptp>,фи-зва-й
кеврек,кеврек<adj>,кеврек
къарпуз,къарпуз<n><abs>,къарпуз
тӀуьна,тӀуь<verb>><aoc>,тӀуь-на
куьтягь,куьтягь<verb>,куьтягь
хьанвачир,хьа<verb>><prf>><neg>><pst>, хьа-нва-ч-ир
амма,амма<conj>,амма
Букар,букар<n><abs>,букар
халуди,халу<n>><erg>,халу-ди
за,зун<prn><erg>,за
гъил,гъил<n><abs>,гъил
эцяна,эця<verb>><aoc>,эця-на
зи,зун<prn><gen>,зи
япал,яп<n>><super><essive>,япа-л
кушкушна,кушкуш<verb>><aor>,кушкуш-на
Бустандиз,бустан<n>><dat>,бустанди-з
вил,вил<n><abs>,вил
вегь,вегь<verb><imper>,вегь
Хъсандиз,хъсандиз<adv>,хъсандиз
килиг,килиг<verb><imper>,килиг
Тарарин,тар<n>><pl>><gen>,тарари-н
хъенар,хъен<n>><pl><abs>,хъен-ар
яргъи,яргъи<adj>,яргъи
хьана,хьа<verb>><aoc>,хьа-на
бустандал,бустан<n>><super><essive>,бустанда-л
атуниз,ату<verb>><msd>><dat>,ату-ни-з
килигна,килигна<post>,килигна
ана,ана<adv>,ана
хурушум,хурушум<n><abs>,хурушум
хьанва,хьа<verb>><prf>,хьа-нва
гьавиляй,гьавиляй<conj>,гьавиляй
завай,зун<prn>><ad>><elative>,за-в-ай
ам,а<prn><sg><abs>,ам
вуч,вуч<prn>,вуч
вагьши,вагьши<adj>,вагьши
гьайван,гьайван<n><abs>,гьайван
ятӀа,я<cop>><cnd>,я-тӀа
ерли,ерли<adv>,ерли
кьатӀуз,кьатӀу<verb><inf>,кьатӀу-з
жезвач,же<verb>><imperf>><neg>,же-зва-ч
Зунни,зун<prn>><add>,зун-ни
бустанчи,бустанчи<n><abs>,бустанчи
Букар,букар<n><abs>,букар
Им,и<prn><sg><abs>,им
вуж,вуж<prn>,вуж
я,я<cop><imperf>,я
эхир,эхир<part>,эхир
лугьуз,лугьу<verb>><inf>,лугьу-з
фикиррик,фикир<n>><pl>><sub><essive>,фикир-ри-к
кумаз,кума<cop>><cvb>,кума-з 
атайди,ата<verb>><aor><ptp>><sg><abs>,ата-й-ди
къарпузриз,къарпуз<n>><pl>><dat>,къарпуз-ри-з
гьахьна,гьахь<verb>><aor>,гьахь-на
Ада,а<prn><sg><erg>,ада
са,са<num>,са
къарпуз,къарпуз<n><abs>,къарпуз
кьенцӀикай,кьен<n>><sub>><elative>,кьенцӀи-к-ай
хкудна,хкуд<verb>><aor>,хкуд-на
ам,а<prn><sg><abs>,ам
тапас,тапас<n><abs>,тапас
геляна,геля<verb>><aoc>,геля-на
вичин,вич<prn>><gen>,вичи-н
мукьув,мукьув<post>,мукьув
гъана,гъа<verb>><aor>,гъа-на
къарпузда,къарпуз<n>><in><essive>,къарпузд-а
вичин,вич<prn>><gen>,вичи-н
яргъи,яргъи<adj>,яргъи
хци,хци<adj>,хци
кӀирер,кӀир<n>><pl><abs>,кӀир-ер
акӀурна,акӀур<verb>><aor>,акӀур-на
ам,а<prn><sg><abs>,ам
вине,вине<adv>,вине
кьуна,кьу<verb>><aoc>,кьу-на
хьиз,хьиз<conj>,хьиз
вагьши,вагьши<adj>,вагьши
кулариз,кул<n>><pl>><dat>,кул-ари-з
хъфена,хъфе<verb>><aor>,хъфе-на
Ам,а<prn><sg><abs>,ам
жанавур,жанавур<n><abs>,жанавур
тир,я<cop><prf>,тир
инанмиш,инанмиш<verb>,инанмиш
хьухь,хьухь<verb><imper>,хьухь
жанавур,жанавур<n><abs>,жанавур
тир,я<cop><prf>,тир
вуна,вун<prn><erg>,вуна
ам,а<prn><sg><abs>,ам
тфенгдай,тфенг<n>><in>><elative>,тфенгд-а-й
яна,я<verb>><aoc>,я-на
кӀандай,кӀан<verb>><fut>><pst>,кӀан-да-й
Яваш,яваш<intj>,яваш
Зазни,зун<prn>><dat>><add>,за-з-ни
атайди,ата<verb>><aor><ptp>><sg><abs>,ата-й-ди
жанавур,жанавур<n><abs>,жанавур
тирди,тир<cop><ptp>><sg><abs>,тир-ди
чир,чир<verb>,чир
хьана,хьа<verb>><aor>,хьа-на
ада,а<prn><sg><erg>,ада
къарпуздикай,къарпуз<n>><sub>><elative>,къарпузди-к-ай
вучзава,вуч<verb>><imperf>,вуч-зава
эхир,эхир<part>,эхир
Белки,белки<intj>,белки
ам,а<prn><sg><abs>,ам
кицӀ,кицӀ<n><abs>,кицӀ
я,я<cop><imperf>,я
жеди,жеди<part>,жеди
гьа,гьа<part>,гьа
Заз,зун<prn>><dat>,за-з
хъсандиз,хъсандиз<adv>,хъсандиз
акуна,аку<verb>><aor>,аку-на
я,я<part>,я
хва,хва<n><abs>,хва
Гьуьжет,гьуьжет<n><abs>,гьуьжет
алач,ала<cop>><neg>,ала-ч
угъри,угъри<n><abs>,угъри
жанавур,жанавур<n><abs>,жанавур
я,я<cop><imperf>,я
Тфенг,тфенг<n><abs>,тфенг
гьазурна,гьазур<verb>><aoc>,гьазур-на
секиндиз,секиндиз<adv>,секиндиз
ацукь,ацукь<verb><imper>,ацукь
ам,а<prn><sg><abs>,ам
исятда,исятда<adv>,исятда
мад,мад<adv>,мад
къведа,къве<verb>><fut>,къве-да
Садал,сад<num>><super><essive>,сада-л
кьведал,кьвед<num>><super><essive>,кьведа-л
ам,а<prn><sg><abs>,ам
тух,тух<adj>,тух
жедай,же<verb>><fut>><ptp>,же-да-й
кафир,кафир<n><abs>,кафир
туш,я<cop><neg>,туш
Зун,зун<prn>,зун
тфенг,тфенг<n><abs>,тфенг
вагьшиди,вагьши<adj>><sg><abs>,вагьши-ди
угьривилер,угьривил<n>><pl><abs>,угьривил-ер
ийизвай,ийи<verb>><imperf>><ptp>,ийи-зва-й
патахъ,пад<n>><post><essive>,пата-хъ
туькӀуьрна,туькӀуьр<verb>><aoc>,туькӀуьр-на
фикиррик,фикир<n>><pl>><sub><essive> ,фикир-ри-к
акатна,акат<verb>><aor>,акат-на
Адавай,а<prn><sg>><ad>><elative>,ада-в-ай
къарпузар,къарпуз<n>><pl><abs>,къарпуз-ар
нез,не<verb>><inf>,не-з
жеда,же<verb>><fut>,же-да
жал,жал<part>,жал
Жеда,же<verb>><fut>,же-да
Гишин,гишин<adj>,гишин
я,я<cop><imperf>,я
Зи,зун<prn><gen>,зи
къуншидин,къунши<n>><gen>,къуншиди-н
кицӀи,кицӀ<n>><erg>,кицӀ-и
гьи,гьи<prn>,гьи
емиш,емиш<n><abs>,емиш
хьайитӀани,,хьайитӀани
неда,не<verb>><fut>,не-да
са,са<num>,са
сеферда,сефер<n>><in><essive>,сеферд-а
гьатта,гьатта<part>,гьатта
еке,еке<adj>,еке
са,са<num>,са
афнини,афни<n>><add>,афни-ни
кваз,кваз<part>,кваз
тӀуьна,тӀуь<verb>><aor>,тӀуь-на
Хутар,хут<n>><pl><abs>,хут-ар
хатрутар,хатрут<n>><pl><abs>,хатрут-ар
адан,а<prn><sg>><gen>,ада-н
рикӀ,рикӀ<n><abs>,рикӀ
алай,ала<cop>><ptp>,ала-й
ем,ем<n><abs>,ем
я,я<cop><imperf>,я
Къарпуз,къарпуз<n><abs>,къарпуз
дадуниз,дад<n>><dat>,дадуни-з
гзаф,гзаф<adv>,гзаф
емишрилай,емиш<n>><pl>><super>><elative>,емиш-ри-л-ай
хъсан,хъсан<adj>,хъсан
я,я<cop><imperf>,я
эхир,эхир<part>,эхир
Заз,зун<prn>><dat>,за-з
жанавурди,жанавур<n>><erg>,жанавур-ди
и,и<prn>,и
юкъуз,юкъ<n>><dat>,юкъу-з
бустанда,бустан<n>><in><essive>,бустанд-а
угьривилер,угьривил<n>><pl><abs>,угьривил-ер
авун,аву<verb>><msd>,аву-н
бегьем,,бегьем
сирлу,сирлу<adj>,сирлу
кар,кар<n><abs>,кар
хьана,хьа<verb>><aor>,хьа-на
Им,и<prn><sg><abs>,им
вуч,вуч<prn>,вуч
лагьай,лагьа<verb>><aor><ptp>,лагьа-й
чӀал,чӀал<n><abs>,чӀал
я,я<cop><imperf>,я
И,и<prn>,и
суалдиз,суал<n>><dat>,суалди-з
заз,зун<prn>><dat>,за-з
жавабни,жаваб<n>><add>,жаваб-ни
жагъана,жагъа<verb>><aor>,жагъа-на
бустанчидин,бустанчи<n>><gen>,бустанчиди-н
кицӀер,кицӀ<n>><pl><abs>,кицӀ-ер
йифиз,йиф<n>><dat>,йифи-з
уях,уях<adj>,уях
я,я<cop><imperf>,я
абуру,а<prn><pl><erg>,абуру
жанавур,жанавур<n><abs>,жанавур
бустандиз,бустан<n>><dat>,бустанди-з
ахъайдач,ахъай<verb>><fut>><neg>,ахъай-да-ч
исятда,исятда<adv>,исятда
абур,а<prn><pl><abs>,абур
гьар,гьар<prn>,гьар
сад,сад<num>,сад
са,са<num>,са
кулан,кул<n>><gen>,кула-н
дибда,диб<n>><in><essive>,дибд-а
кьилер,кьил<n>><pl><abs>,кьил-ер
кьвехве,кьвехв<n>><in><essive>,кьвехв-е
туна,ту<verb>><aoc>,ту-на
ширин,ширин<adj>,ширин
ахварал,ахвар<n>><super><essive>,ахвара-л
ала,ала<cop><imperf>,ала
хъсан,хъсан<adj>,хъсан
секин,секин<adj>,секин
вахт,вахт<n><abs>,вахт
я,я<cop><imperf>,я
Аквар,аква<verb>><aimpp>,аква-р
гьаларай,гьал<n>><pl>><in>><elative>,гьал-ар-а-й
и,и<prn>,и
кар,кар<n><abs>,кар
жанавурдиз,жанавур<n>><dat>,жанавурди-з
хъсан,хъсан<adj>,хъсан
чида,чи<verb>><fut>,чи-да
Вагьши,вагьши<adj>,вагьши
акьалтӀай,акьалтӀай<adj>,акьалтӀай
фендигар,фендигар<n><abs>,фендигар
я,я<cop><imperf>,я
Зур,зур<n><abs>,зур
сят,сят<n><abs>,сят
алатна,алат<verb>><aor>,алат-на
жеди,жеди<part>,жеди
жанавур,жанавур<n><abs>,жанавур
мад,мад<adv>,мад
атана,ата<verb>><aor>,ата-на
Вагьши,вагьши<adj>,вагьши
цавуз,цав<n>><dat>,цаву-з
гадар,гадар<verb>,гадар
хьана,хьа<verb>><aor>,хьа-на
ахпа,ахпа<post>,ахпа
чилел,чил<n>><super><essive>,чиле-л
алукьна,алукь<verb>><aor>,алукь-на
мад,мад<adv>,мад
юзун,юзу<verb>><per>,юзу-н
хъувунач,хъуву<verb>><aor>\<neg>,хъуву-на-ч
Инсанри,инсан<n>><pl><erg>,инсан-ри
лугьудайвал,лугьу<verb>><fut>><ptp>><man>,лугьу-да-й-вал
виш,виш<num>,виш
йисуз,йис<n>><dat>,йису-з
яшамиш,яшамиш<verb>,яшамиш
хьухь,хьухь<verb><imper>,хьухь
виш,виш<num>,виш
йисузни,йис<n>><dat>><add>,йису-з-ни
дуьньядин,дуьнья<n>><gen>,дуьньяди-н
сирер,сир<n>><pl><abs>,сир-ер
чира,чира<verb><imper>,чир-а
абур,а<prn><pl><abs>,абур
бегьем,бегьем<adv>,бегьем
чир,чир<verb>,чир
хьайитӀа,хьа<verb>><aor><ptp>><cnd>,хьа-йи-тӀа
хъсан,хъсан<adj>,хъсан
я,я<cop><imperf>,я
Букар,букар<n><abs>,букар
халудивай,халу<n>><ad>><elative>,халуди-в-ай
вичин,вич<prn>><gen>,вичи-н
шадвал,шадвал<n><abs>,шадвал
винел,винел<post>,винел
акъуд,акъуд<verb><per>,акъуд 
тавуна,<neg>>аву<verb>><aoc>,т-аву-на
акъвазиз,акъваз<verb>><inf>,акъваз-из
хьанач,хьа<verb>><aor>><neg>,хьа-на-ч
За,зун<prn><erg>,за
ам,а<prn><sg><abs>,ам
атӀа,атӀа<prn>,атӀа
далудал,далу<n>><super><essive>,далуда-л
рипер,рип<n>><pl><abs>,рип-ер
хьтин,хьтин<part>,хьтин
цацар,цац<n>><pl><abs>,цац-ар
алай,ала<cop>><ptp>,ала-й
дикобраз,дикобраз<n><abs>,дикобраз
тӀвар,тӀвар<n><abs>,тӀвар
алай,ала<cop>><ptp>,ала-й
вагьши,вагьши<adj>,вагьши
гьайван,гьайван<n><abs>,гьайван
ятӀа,я<cop>><cnd>,я-тӀа
лугьузвай,лугьу<verb>><imperf>><ptp>,лугьу-зва-й
Жанавурди,жанавур<n>><erg>,жанавур-ди
къарпузар,къарпуз<n>><pl><abs>,къарпуз-ар
тарашун,тараш<verb>><msd>,тараш-ун
гьич,гьич<adv>,гьич
фикирдизни,фикир<n>><dat>><add>,фикирди-з-ни
къведай,къве<verb>><fut>><ptp>,къве-да-й
кӀвалах,кӀвалах<n><abs>,кӀвалах
туш,я<cop><neg>,туш
