id,word,stem,pos,tags,sep_form
159,фимир,фи,verb,"prohib",фи-мир
160,гьа,гьа,part,"",гьа
161,Керекул,керекул,n,"abs",керекул
162,цавуз,цав,n,"dat",цаву-з
163,хкаж,хкаж,verb,"per",хкаж
164,хьана,хьа,verb,"aoc",хьа-на
165,хуьруьн,хуьр,n,"gen",хуьруь-н
166,уьруьшрилай,уьруьш,n,"pl,super,elative",уьруьш-ри-л-ай
167,цӀар,цӀар,n,"abs",цӀар
168,элкъуьрна,элкъуьр,verb,"aoc",элкъуьр-на
169,хтана,хта,verb,"aor",хта-на
170,Фад,фад,adv,"",фад
171,гьазур,гьазур,adj,"",гьазур
172,хьухь,хьухь,verb,"imper",хьухь
173,жанавур,жанавур,n,"abs",жанавур
174,Жуван,жув,prn,"gen",жува-н
175,сарариз,сар,n,"pl,dat",сар-ари-з
176,къилав,къилав,verb,"per",къилав
177,це,це,verb,"imper",це
178,Заз,зун,prn,"dat",за-з
179,касни,кас,n,"add",кас-ни
180,галачиз,галачиз,postp,"",галачиз
181,чпин,чеб,prn,"gen",чпи-н
182,ихтиярдалди,ихтияр,n,"super,directive",ихтиярда-л-ди
183,векь,векь,n,"abs",векь
184,незвай,не,verb,"imperf,ptp",не-зва-й
185,лапагар,лапаг,n,"pl,abs",лапаг-ар
186,акунва,аку,verb,"prf",аку-нва
187,Абур,а,prn,"pl,abs",абур
188,гьинал,гьинал,adv,"",гьинал
189,ала,ала,cop,"imperf",ала
190,хвеши,хвеши,adj,"",хвеши
191,хьана,хьа,verb,"aoc",хьа-на
192,тадиз,тадиз,adv,"",тадиз
193,хабар,хабар,n,"abs",хабар
194,кьуна,кьу,verb,"aor",кьу-на
195,жанавурди,жанавур,n,"erg",жанавур-ди
196,За,зун,prn,"erg",за
197,цавай,цав,n,"in,elative",цав-а-й
198,лув,лув,n,"abs",лув
199,гуда,гу,verb,"fut",гу-да
200,вун,вун,prn,"",вун
201,зи,зун,prn,"gen",зи
202,гьараюнин,гьарай,verb,"msd,gen",гьара-юни-н
203,ванцелди,ван,n,"super,directive",ванце-л-ди
204,ша,ша,verb,"imper",ша
205,Жанавур,жанавур,n,"abs",жанавур
206,рази,рази,adj,"",рази
207,хьана,хьа,verb,"aor",хьа-на
208,Керекулди,керекул,n,"erg",керекул-ди
209,гьарайиз,гьарай,verb,"inf",гьарай-из
210,гьарайиз,гьарай,verb,"inf",гьарай-из
211,цавай,цав,n,"in,elative",цав-а-й
212,лув,лув,n,"abs",лув
213,гана,га,verb,"aor",га-на
214,Ахпа,ахпа,postp,"",ахпа
215,лапагар,лапаг,n,"pl,abs",лапаг-ар
216,авай,ава,cop,"ptp",ава-й
217,векьин,векьин,n,"gen",векьи-н
218,юкьвал,юкьвал,n,"super,essive",юкьва-л
219,алай,ала,cop,"ptp",ала-й
220,мегъуьн,мегъ,n,"gen",мегъуь-н
221,тарцин,тар,n,"gen",тарци-н
222,кукӀваз,кукӀв,n,"dat",кукӀва-з
223,хкаж,хкаж,verb,"per",хкаж
224,хьана,хьа,verb,"aoc",хьа-на
225,ада,а,prn,"sg,erg",ада
226,гьанлай,гьанлай,adv,"",гьанлай
227,гьарайиз,гьарай,verb,"inf",гьарай-из
228,башламишна,башламиш,verb,"aor",башламиш-на
229,Ада,а,prn,"sg,erg",ада
230,тфенг,тфенг,n,"abs",тфенг
231,къуьне,къуьн,n,"in,essive",къуьн-е
232,аваз,ава,cop,"cvb",ава-з
233,и,и,prn,"",и
234,тарцин,тар,n,"gen",тарци-н
235,кӀаник,кӀаник,postp,"",кӀаник
236,акъвазнавай,акъваз,verb,"prf,ptp",акъваз-нава-й
237,чубандин,чубан,n,"gen",чубанди-н
238,фикир,фикир,n,"abs",фикир
239,вичел,вич,prn,"super,essive",виче-л
240,желбзавай,желб,verb,"imperf,ptp",желб-зава-й
241,Керекулдин,керекул,n,"gen",керекулди-н
242,сив,сив,n,"abs",сив
243,акъваззавачир,акъваз,verb,"imperf,neg,pst",акъваз-зава-ч-ир
244,Ада,а,prn,"sg,erg",ада
245,чубандиз,чубан,n,"dat",чубанди-з
246,хаталувиликай,хаталувил,n,"sub,elative",хаталувили-к-ай
247,хабар,хабар,n,"abs",хабар
248,гузвай,гу,verb,"imperf,ptp",гу-зва-й
249,Ина,ина,adv,"",ина
250,вуч,вуч,prn,"",вуч
251,аватӀани,ава,cop,"cnd,add",ава-тӀа-ни
252,са,са,num,"",са
253,кар,кар,n,"abs",кар
254,ава,ава,cop,"imperf",ава
255,Белки,белки,intj,"",белки
256,адаз,а,prn,"sg,dat",ада-з
257,жанавур,жанавур,n,"abs",жанавур
258,аквазватӀа,аква,verb,"imperf,cnd",аква-зва-тӀа
259,Чубанди,чубан,n,"erg",чубан-ди
260,тадиз,тадиз,adv,"",тадиз
261,вичин,вич,prn,"gen",вичи-н
262,хъуьчӀе,хъуьчӀ,n,"in,essive",хъуьчӀ-е
263,авай,ава,cop,"ptp",ава-й
264,тфенг,тфенг,n,"abs",тфенг
265,акъудна,акъуд,verb,"aoc",акъуд-на
266,гъилерал,гъил,n,"pl,super,essive",гъил-ера-л
267,вегьена,вегье,verb,"aoc",вегье-на
268,тарцин,тар,n,"gen",тарци-н
269,далдадик,далда,n,"sub,essive",далдади-к
270,акъвазна,акъваз,verb,"aoc",акъваз-на
271,тамун,там,n,"gen",таму-н
272,къерех,къерех,n,"abs",къерех
273,гуьзетиз,гуьзет,verb,"inf",гуьзет-из
274,башламишна,башламиш,verb,"aor",башламиш-на
275,Керекулди,керекул,n,"erg",керекул-ди
276,гьараюн,гьарай,verb,"msd",гьара-юн
277,давамарзавай,давамар,verb,"imperf,pst",давамар-зава-й
278,Ада,а,prn,"sg,erg",ада
279,жанавурдиз,жанавур,n,"dat",жанавурди-з
280,Фад,фад,adv,"",фад
281,иниз,иниз,adv,"",иниз
282,ша,ша,verb,"imper",ша
283,фад,фад,adv,"",фад
284,иниз,иниз,adv,"",иниз
285,ша,ша,verb,"imper",ша
286,чубандизни,чубан,n,"dat,add",чубанди-з-ни
287,Мукъаят,мукъаят,adj,"",мукъаят
288,хьухь,хьухь,verb,"imper",хьухь
289,мукъаят,мукъаят,adj,"",мукъаят
290,хьухь,хьухь,verb,"imper",хьухь
291,душман,душман,n,"abs",душман
292,къвезва,къве,verb,"imperf",къве-зва
293,лугьузвай,лугьу,verb,"imperf,ptp",лугьу-зва-й
294,Са,са,num,"",са
295,арадилай,ара,n,"super,elative",аради-л-ай
296,жанавур,жанавур,n,"abs",жанавур
297,атана,ата,verb,"aoc",ата-на
298,акъатна,акъат,verb,"aor",акъат-на
299,Сифте,сифте,adv,"",сифте
300,ам,а,prn,"sg,abs",ам
301,тамукай,там,n,"sub,elative",таму-к-ай
302,мукъаятвилелди,мукъаятвил,n,"super,directive",мукъаятвиле-л-ди
303,хипериз,хип,n,"pl,dat",хип-ери-з
304,килигна,килиг,verb,"aor",килиг-на
305,Вилериз,вил,n,"pl,dat",вил-ери-з
306,кас,кас,n,"abs",кас
307,мас,мас,n,"abs",мас
308,такурла,,negаку,"verb,aor,ptp,temp",т-аку-р-ла
309,ада,а,prn,"sg,erg",ада
310,виликди,виликди,adv,"",виликди
311,еримишна,еримиш,verb,"aor",еримиш-на
312,Гьа,гьа,prn,"",гьа
313,и,и,prn,"",и
314,арада,ара,n,"in,essive",арад-а
315,тарцик,тар,n,"sub,essive",тарци-к
316,чуьнуьх,чуьнуьх,verb,"per",чуьнуьх
317,хьанвай,хьа,verb,"prf,ptp",хьа-нва-й
318,чубандин,чубан,n,"gen",чубанди-н
319,тфенгни,тфенг,n,"add",тфенг-ни
320,акъатна,акъат,verb,"aor",акъат-на
321,Угъри,угъри,n,"abs",угъри
322,жанавурдин,жанавур,n,"gen",жанавурди-н
323,кьилел,кьил,n,"super,essive",кьиле-л
324,вуч,вуч,prn,"",вуч
325,дуьшуьш,дуьшуьш,n,"abs",дуьшуьш
326,атанатӀа,ата,verb,"aor,cnd",ата-на-тӀа
327,квез,куьн,prn,"dat",кве-з
328,хъсандиз,хъсандиз,adv,"",хъсандиз
329,акуна,аку,verb,"aor",аку-на
