id,word,stem,pos,tags,sep_form
103,чна,чун,prn,"erg",чна
104,Ажай,Ажай,n,"abs",Ажай
105,къари,къари,n,"abs",къари
106,кутугай,кутугай,adj,"",кутугай
107,къаршиламишда,къаршиламиш,verb,"fut",къаршиламиш-да
108,За,зун,prn,"erg",за
109,гъил,гъил,n,"abs",гъил
110,хкажна,хкаж,verb,"aoc",хкаж-на
111,агъузун,агъуз,verb,"msd",агъуз-ун
112,кумаз,кумаз,conj,"",кумаз
113,куьне,куьн,prn,"erg",куьне
114,Дидедиз,диде,n,"dat",дидеди-з
115,салам,салам,intj,"",салам
116,мани,мани,n,"abs",мани
117,хкажда,хкаж,verb,"fut",хкаж-да
118,Музыкадин,музыка,n,"gen",музыкади-н
119,ванер,ван,n,"pl,abs",ван-ер
120,къвердавай,къвердавай,adv,"",къвердавай
121,мукьвал,мукьвал,adj,"",мукьвал
122,жеда,же,verb,"fut",же-да
123,Рушарин,руш,n,"pl,gen",руш-ари-н
124,юкьва,юкьв,n,"in,essive",юкьв-а
125,аваз,ава,cop,"cvb",ава-з
126,Зина,Зина,n,"abs",Зина
127,къведа,къве,verb,"fut",къве-да
128,Адан,а,prn,"sg,gen",ада-н
129,гуьгъуьналлаз,гуьгъуьналлаз,adv,"",гуьгъуьналлаз
130,гадайрин,гада,n,"pl,gen",гада-йри-н
131,юкьва,юкьв,n,"in,essive",юкьв-а
132,аваз,ава,cop,"cvb",ава-з
133,Аслан,Аслан,n,"abs",Аслан
134,Рагьим,Рагьим,n,"abs",Рагьим
135,ва,ва,conj,"",ва
136,Али,Али,n,"abs",Али
137,къведа,къве,verb,"fut",къве-да
138,Музыкадин,музыка,n,"gen",музыкади-н
139,ванер,ван,n,"pl,abs",ван-ер
140,и,и,prn,"",и
141,арада,ара,n,"in,essive",арад-а
142,къати,къати,adj,"",къати
143,я,я,cop,"imperf",я
144,Ажай,Ажай,n,"abs",Ажай
145,къведа,къве,verb,"fut",къве-да
146,Вариса,Варис,n,"erg",Варис-а
147,гъил,гъил,n,"abs",гъил
148,эляда,эля,verb,"fut",эля-да
149,ва,ва,conj,"",ва
150,рушари,руш,n,"pl,erg",руш-ари
151,мани,мани,n,"abs",мани
152,лугьуда,лугьу,verb,"fut",лугьу-да
153,Атана,ата,verb,"aor",ата-на
154,атана,ата,verb,"aor",ата-на
155,диде,диде,n,"abs",диде
156,атана,ата,verb,"aor",ата-на
157,Диде,диде,n,"abs",диде
158,атана,ата,verb,"aor",ата-на
159,кӀвалер,кӀвал,n,"pl,abs",кӀвал-ер
160,ацӀана,ацӀа,verb,"aor",ацӀа-на
161,Дидед,дидед,n,"gen",дидед
162,чина,чин,n,"in,essive",чин-а
163,рагъ,рагъ,n,"abs",рагъ
164,ава,ава,cop,"imperf",ава
165,рагъ,рагъ,n,"abs",рагъ
166,ава,ава,cop,"imperf",ава
167,РикӀе,рикӀ,n,"in,essive",рикӀ-е
168,цуьквед,цуьк,n,"gen",цуьквед
169,багъ,багъ,n,"abs",багъ
170,ава,ава,cop,"imperf",ава
171,багъ,багъ,n,"abs",багъ
172,ава,ава,cop,"imperf",ава
173,Къени,къени,adj,"",къени
174,я,я,cop,"imperf",я
175,къени,къени,adj,"",къени
176,я,я,cop,"imperf",я
177,мехъер,мехъер,n,"abs",мехъер
178,авай,ава,cop,"ptp",ава-й
179,кӀвал,кӀвал,n,"abs",кӀвал
180,Къени,къени,adj,"",къени
181,я,я,cop,"imperf",я
182,къени,къени,adj,"",къени
183,я,я,cop,"imperf",я
184,свас,свас,n,"abs",свас
185,атай,ата,verb,"aor,ptp",ата-й
186,кӀвал,кӀвал,n,"abs",кӀвал
187,Дидед,дидед,n,"gen",дидед
188,чина,чин,n,"in,essive",чин-а
189,рагъ,рагъ,n,"abs",рагъ
190,ава,ава,cop,"imperf",ава
191,рагъ,рагъ,n,"abs",рагъ
192,ава,ава,cop,"imperf",ава
193,РикӀе,рикӀ,n,"in,essive",рикӀ-е
194,цуьквед,цуьк,n,"gen",цуьквед
195,багъ,багъ,n,"abs",багъ
196,ава,ава,cop,"imperf",ава
197,багъ,багъ,n,"abs",багъ
198,ава,ава,cop,"imperf",ава
199,Манидин,мани,n,"gen",маниди-н
200,ван,ван,n,"abs",ван
201,кьилеллаз,кьил,n,"super,essive,be.on,cvb",кьиле-л-ла-з
202,Ажай,Ажай,n,"abs",Ажай
203,кьуьлуьник,кьуьл,n,"sub,essive",кьуьлуьни-к
204,экечӀна,экечӀ,verb,"aoc",экечӀ-на
205,ада,а,prn,"sg,erg",ада
206,эмирдин,эмир,n,"gen",эмирди-н
207,къайдада,къайда,n,"in,essive",къайдад-а
208,вичин,вич,prn,"gen",вичи-н
209,кьуьлуьник,кьуьл,n,"sub,essive",кьуьлуьни-к
210,Варисаз,Варис,n,"dat",Вариса-з
211,эверда,эвер,verb,"fut",эвер-да
212,Абуру,а,prn,"pl,erg",абуру
213,кьуьл,кьуьл,n,"abs",кьуьл
214,ийида,ийи,verb,"fut",ийи-да
215,гадайри,гада,n,"pl,erg",гада-йри
216,ва,ва,conj,"",ва
217,рушари,руш,n,"pl,erg",руш-ари
218,гурлу,гурлу,adj,"",гурлу
219,капар,кап,n,"pl,abs",кап-ар
220,яда,я,verb,"fut",я-да
221,шадвилер,шадвил,n,"pl,abs",шадвил-ер
222,ийида,ийи,verb,"fut",ийи-да
223,Идаз,и,prn,"sg,dat",ида-з
224,килиг,килиг,verb,"imper",килиг
225,Ажай,Ажай,n,"abs",Ажай
226,къари,къари,n,"abs",къари
227,майдан,майдан,n,"abs",майдан
228,вид,вун,prn,"gen,sg,abs",ви-д
229,я,я,cop,"imperf",я
230,Кьуьлуьникай,кьуьл,n,"sub,elative",кьуьлуьни-к-ай
231,хкечӀда,хкечӀ,verb,"fut",хкечӀ-да
232,Лап,лап,part,"",лап
233,кьил,кьил,n,"abs",кьил
234,гижи,гижи,adj,"",гижи
235,жедалди,же,verb,"postr",же-далди
236,кьуьл,кьуьл,n,"abs",кьуьл
237,авуна,аву,verb,"aor",аву-на
238,Зинадин,Зина,n,"gen",Зинади-н
239,мукьув,мукьув,post,"",мукьув
240,фида,фи,verb,"fut",фи-да
241,Сагърай,сагърай,intj,"",сагърай
242,чан,чан,adj,"",чан
243,цуьк,цуьк,n,"abs",цуьк
244,Вуна,вун,prn,"erg",вуна
245,зи,зун,prn,"gen",зи
246,гаф,гаф,n,"abs",гаф
247,кьиле,кьил,n,"in,essive",кьил-е
248,тухвана,тухва,verb,"aor",тухва-на
249,За,зун,prn,"erg",за
250,вири,вири,prn,"",вири
251,элдиз,эл,n,"dat",элди-з
252,вун,вун,prn,"",вун
253,хъсан,хъсан,adj,"",хъсан
254,руш,руш,n,"abs",руш
255,я,я,cop,"imperf",я
256,гуьзел,гуьзел,adj,"",гуьзел
257,тават,тават,n,"abs",тават
258,я,я,cop,"imperf",я
259,лугьуз,лугьу,verb,"inf",лугьу-з
260,хьана,хьа,verb,"aor",хьа-на
261,Межлисда,межлис,n,"in,essive",межлисд-а
262,авайбуруз,ава,cop,"ptp,pl,dat",ава-й-буру-з
263,килигиз,килиг,verb,"inf",килиг-из
264,килигиз,килиг,verb,"inf",килиг-из
265,Бес,бес,part,"",бес
266,наврузбег,наврузбег,n,"abs",наврузбег
267,гьинва,гьи,adv,"be.in",гьин-ва
268,Забур,Забур,n,"abs",Забур
269,гьинва,гьи,adv,"be.in",гьин-ва
270,Варисаз,Варис,n,"dat",Вариса-з
271,Исятда,исятда,adv,"",исятда
272,Варис,Варис,n,"abs",Варис
273,халу,халу,n,"abs",халу
274,са,са,num,"",са
275,тӀурфан,тӀурфан,n,"abs",тӀурфан
276,ина,ина,adv,"",ина
277,къурмиш,къурмиш,verb,"per",къурмиш
278,жен,же,verb,"hort",же-н
279,хьи,хьи,part,"",хьи
280,кӀвачер,кӀвач,n,"pl,abs",кӀвач-ер
281,кӀевиз,кӀевиз,adv,"",кӀевиз
282,икис,икис,verb,"imper",икис
283,Наврузбегаз,наврузбег,n,"dat",наврузбега-з
284,мубарак,мубарак,n,"abs",мубарак
285,ийиз,ийи,verb,"inf",ийи-з
286,кӀанзава,кӀан,verb,"imperf",кӀан-зава
287,заз,зун,prn,"dat",за-з
288,Свас,свас,n,"abs",свас
289,инал,инал,adv,"",инал
290,алайла,ала,cop,"ptp,temp",ала-й-ла
291,гада,гада,n,"abs",гада
292,авач,ава,cop,"neg",ава-ч
293,Вач,вач,verb,"imper",вач
294,ам,а,prn,"sg,abs",ам
295,галаз,галаз,post,"",галаз
296,хъша,хъша,n,"abs",хъша
297,Заз,зун,prn,"dat",за-з
298,чиз,чи,verb,"inf",чи-з
299,къари,къари,n,"abs",къари
300,чун,чун,prn,"",чун
301,вири,вири,prn,"",вири
302,са,са,num,"",са
303,тарце,тар,n,"in,essive",тарц-е
304,хьайила,хьа,verb,"aor,ptp,temp",хьа-йи-ла
305,вун,вун,prn,"",вун
306,маса,маса,adj,"",маса
307,тарце,тар,n,"in,essive",тарц-е
308,ава,ава,cop,"imperf",ава
309,Вучиз,вучиз,adv,"",вучиз
310,зун,зун,prn,"",зун
311,маса,маса,adj,"",маса
312,тарце,тар,n,"in,essive",тарц-е
313,ава,ава,cop,"imperf",ава
314,Ам,а,prn,"sg,abs",ам
315,вуч,вуч,prn,"",вуч
316,тар,тар,n,"abs",тар
317,я,я,cop,"imperf",я
318,зун,зун,prn,"",зун
319,авайди,ава,cop,"ptp,sg,abs",ава-й-ди
320,Валидин,вали,n,"gen",валиди-н
321,хва,хва,n,"abs",хва
322,Варис,Варис,n,"abs",Варис
323,Куьн,куьн,prn,"",куьн
324,авай,ава,cop,"ptp",авай
325,тар,тар,n,"abs",тар
326,гьим,гьи,prn,"sg,abs",гьим
327,я,я,cop,"imperf",я
328,Эвленмиш,эвленмиш,verb,"per",эвленмиш
329,хьанвайди,хьа,verb,"prf,ptp,sg,abs",хьа-нва-й-ди
330,Забур,Забур,n,"abs",Забур
331,туш,я,cop,"neg",туш
332,Ви,вун,prn,"gen",ви
333,хтул,хтул,n,"abs",хтул
334,Аслан,Аслан,n,"abs",Аслан
335,я,я,cop,"imperf",я
336,Вун,вун,prn,"",вун
337,дили,дили,adj,"",дили
338,хьанва,хьа,verb,"prf",хьа-нва
339,Валидин,вали,n,"gen",валиди-н
340,къарагуьн,къарагуьн,n,"abs",къарагуьн
341,Вири,вири,prn,"",вири
342,мягьтел,мягьтел,adj,"",мягьтел
343,жеда,же,verb,"fut",же-да
344,Ажайни,Ажай,n,"add",Ажай-ни
345,аламат,аламат,adj,"",аламат
346,хьанваз,хьа,verb,"prf,imc",хьа-нва-з
347,межлисдин,межлис,n,"gen",межлисди-н
348,итимриз,итим,n,"pl,dat",итим-ри-з
349,килигда,килиг,verb,"fut",килигда
350,абурун,а,prn,"pl,gen",абуру-н
351,арада,арада,post,"",арада
352,Рагьим,Рагьим,n,"abs",Рагьим
353,аваз,ава,cop,"cvb",ава-з
354,аквада,аква,verb,"fut",аква-да
355,За,зун,prn,"erg",за
356,ваз,вун,prn,"dat",ва-з
357,Ажай,Ажай,n,"abs",Ажай
358,ви,вун,prn,"gen",ви
359,хтул,хтул,n,"abs",хтул
360,Аслан,Аслан,n,"abs",Аслан
361,эвленмиш,эвленмиш,verb,"per",эвленмиш
362,хьунухь,хьу,verb,"msd",хьу-нухь
363,мубаракзава,мубарак,verb,"imperf",мубарак-зава
364,Мубарак,мубарак,n,"abs",мубарак
365,хьуй,хьу,verb,"opt",хьу-й
366,ваз,вун,prn,"dat",ва-з
367,ви,вун,prn,"gen",ви
368,хтулдин,хтул,n,"gen",хтулди-н
369,мехъер,мехъер,n,"abs",мехъер
370,зи,зун,prn,"gen",зи
371,играми,играми,adj,"",играми
372,хтул,хтул,n,"abs",хтул
373,Ажай,Ажай,n,"abs",Ажай
374,Ял,ял,n,"abs",ял
375,кьунваз,кьу,verb,"prf,imc",кьу-нва-з
376,И,и,prn,"",и
377,мехъер,мехъер,n,"abs",мехъер
378,нинди,вуж,prn,"gen,sg,abs",ни-н-ди
379,я,я,cop,"imperf",я
380,Аквазва,аква,verb,"imperf",аква-зва
381,хьи,хьи,part,"",хьи
382,ваз,вун,prn,"dat",ва-з
383,баде,баде,n,"abs",баде
384,зиди,зун,prn,"gen,sg,abs",зи-ди
385,я,я,cop,"imperf",я
386,За,зун,prn,"erg",за
387,минет,минет,n,"abs",минет
388,авуна,аву,verb,"aor",аву-на
389,вунани,вун,prn,"erg,add",вуна-ни
390,фена,фе,verb,"aoc",фе-на
391,заз,зун,prn,"dat",за-з
392,свас,свас,n,"abs",свас
393,це,це,verb,"imper",це
394,лагьана,лагьа,verb,"aor",лагьа-на
395,Зинадин,Зина,n,"gen",Зинади-н
396,мукьув,мукьув,adv,"",мукьув
397,къведа,къве,verb,"fut",къве-да
398,Къедлай,къедлай,adv,"",къедлай
399,им,и,prn,"sg,abs",им
400,зи,зун,prn,"gen",зи
401,паб,паб,n,"abs",паб
402,юлдаш,юлдаш,n,"abs",юлдаш
403,я,я,cop,"imperf",я
404,ИкІ,икІ,conj,"",икІ
405,ЗАГСдин,ЗАГС,n,"gen",ЗАГСди-н
406,ктабрани,ктаб,n,"pl,in,essive,add",ктаб-р-а-ни
407,кхьенва,кхье,verb,"prf",кхье-нва
408,Вай,вай,intj,"",вай
409,аллагь,аллагь,n,"abs",аллагь
410,Инал,инал,adv,"",инал
411,зи,зун,prn,"gen",зи
412,япариз,яб,n,"pl,dat",яп-ари-з
413,вуч,вуч,prn,"",вуч
414,ванер,ван,n,"pl,abs",ван-ер
415,жезва,же,verb,"imperf",же-зва
416,Заз,зун,prn,"dat",за-з
417,заваллу,заваллу,adj,"",заваллу
418,ахвар,ахвар,n,"abs",ахвар
419,аквазвани,аква,verb,"imperf,inter",аква-зва-ни
420,Аман,аман,intj,"",аман
421,аллагь,аллагь,n,"abs",аллагь
422,Ахвар,ахвар,n,"abs",ахвар
423,туш,я,cop,"neg",туш
424,Заз,зун,prn,"dat",за-з
425,хьайи,хьа,verb,"aor,ptp",хьа-йи
426,мусибат,мусибат,n,"abs",мусибат
427,аку,аку,verb,"imper",аку
428,вахар,вах,n,"pl,abs",вах-ар
429,рушар,руш,n,"pl,abs",руш-ар
430,Я,я,part,"",я
431,эллер,эл,n,"pl,abs",эл-лер
432,зун,зун,prn,"",зун
433,дили,дили,adj,"",дили
434,жезва,же,verb,"imperf",же-зва
435,Ажай,Ажай,n,"abs",Ажай
436,кьил,кьил,n,"abs",кьил
437,кьуна,кьу,verb,"aoc",кьу-на
438,ацукьда,ацукь,verb,"fut",ацукь-да
439,ам,а,prn,"sg,abs",ам
440,Перидини,Пери,n,"erg,add",Периди-ни
441,Мержана,мержан,n,"erg",мержан-а
442,кьада,кьа,verb,"fut",кьа-да
443,Ажаял,Ажай,n,"super,essive",Ажая-л
444,гьалтна,гьалт,verb,"aoc",гьалт-на
445,килигда,килиг,verb,"fut",килиг-да
446,Ажай,Ажай,n,"abs",Ажай
447,бадедиз,баде,n,"dat",бадеди-з
448,пис,пис,adj,"",пис
449,хьанва,хьа,verb,"prf",хьа-нва
450,Аквазвани,аква,verb,"imperf,inter",аква-зва-ни
451,им,и,prn,"sg,abs",им
452,куь,куьн,prn,"gen",куь
453,зарафатдин,зарафат,n,"gen",зарафатди-н
454,нетижа,нетижа,n,"abs",нетижа
455,я,я,cop,"imperf",я
456,За,зун,prn,"erg",за
457,квез,куьн,prn,"dat",кве-з
458,гьикӀ,гьикӀ,adv,"",гьикӀ
459,лагьанай,лагьа,verb,"aor,pst",лагьа-на-й
460,Чан,чан,adj,"",чан
461,руш,руш,n,"abs",руш
462,вуна,вун,prn,"erg",вуна
463,эсиллагь,эсиллагь,adv,"",эсиллагь
464,фикирмир,фикир,verb,"prohib",фикир-мир
465,Ажай,Ажай,n,"abs",Ажай
466,назлу,назлу,adj,"",назлу
467,назикрикай,назик,adj,"pl,sub,elative",назик-ри-к-ай
468,туш,я,cop,"neg",туш
469,адан,а,prn,"sg,gen",ада-н
470,чан,чан,n,"abs",чан
471,кьве,кьве,num,"",кьве
472,къванцин,къван,n,"gen",къванци-н
473,кӀаникни,кӀаник,post,"add",кӀаник-ни
474,акъатдач,акъат,verb,"fut,neg",акъат-да-ч
475,Ажаян,Ажай,n,"gen",Ажая-н
476,мукьув,мукьув,post,"",мукьув
477,фена,фе,verb,"aoc",фе-на
478,адан,а,prn,"sg,gen",ада-н
479,япун,яб,n,"gen",япу-н
480,дувулдал,дувул,n,"super,essive",дувулда-л
481,капаш,капаш,n,"abs",капаш
482,эцигда,эциг,verb,"fut",эциг-да
483,Гьич,гьич,adv,"",гьич
484,са,са,num,"",са
485,затӀни,затӀ,n,"add",затӀни
486,хьанач,хьа,verb,"aor,neg",хьа-на-ч
487,Ажая,Ажай,n,"erg",Ажа-я
488,шумуд,шумуд,prn,"",шумуд
489,залзалаяр,залзала,n,"pl,abs",залзалаяр
490,шумуд,шумуд,prn,"",шумуд
491,дявеяр,дяве,n,"pl,abs",дяве-яр
492,шумуд,шумуд,prn,"",шумуд
493,маргъалар,маргъал,n,"pl,abs",маргъал-ар
494,эхи,эхи,verb,"per",эхи
495,авуна,аву,verb,"aor",аву-на
496,Абурун,а,prn,"pl,gen",абуру-н
497,тум,тум,n,"abs",тум
498,кьил,кьил,n,"abs",кьил
499,авач,ава,cop,"neg",ава-ч
500,И,и,prn,"",и
501,мехъер,мехъер,n,"abs",мехъер
502,кеф,кеф,n,"abs",кеф
503,я,я,cop,"imperf",я
504,хьи,хьи,part,"",хьи
505,Чкадилай,чка,n,"super,elative",чкади-л-ай
506,гадар,гадар,verb,"per",гадар
507,жеда,же,verb,"fut",же-да
508,Лал,лал,adj,"",лал
509,хьухь,хьухь,verb,"imper",хьухь
510,къаралмиш,къаралмиш,verb,"per",къаралмиш
511,Валидин,вали,n,"gen",валиди-н
512,авара,авара,n,"abs",авара
513,Къуй,къуй,part,"",къуй
514,аллагьди,аллагь,n,"erg",аллагь-ди
515,ваз,вун,prn,"dat",ва-з
516,завал,завал,verb,"per",завал
517,гурай,гу,verb,"opt",гу-рай
518,къарагуьн,къарагуьн,n,"abs",къарагуьн
519,И,и,prn,"",и
520,дагъларни,дагъ,n,"pl,add",дагъ-лар-ни
521,ви,вун,prn,"gen",ви
522,русвагь,русвагь,adj,"",русвагь
523,хьанвай,хьа,verb,"prf,ptp",хьа-нва-й
524,кьилел,кьил,n,"super,essive",кьиле-л
525,чӀур,чӀур,verb,"per",чӀур
526,хьурай,хьу,verb,"opt",хьу-рай
527,Къузгъунри,къузгъун,n,"pl,erg",къузгъун-ри
528,тарашрай,тараш,verb,"opt",тараш-рай
529,мурдар,мурдар,n,"abs",мурдар
530,За,зун,prn,"erg",за
531,лагьайвал,лагьа,verb,"aor,ptp,man",лагьа-й-вал
532,хьана,хьа,verb,"aor",хьа-на
533,и,и,prn,"",и
534,къаридихъ,къари,n,"post,essive",къариди-хъ
535,гьич,гьич,adv,"",гьич
536,са,са,num,"",са
537,затӀни,затӀ,n,"add",затӀ-ни
538,жериди,же,verb,"aimpp,sg,abs",же-ри-ди
539,туш,я,cop,"neg",туш
540,Вунни,вун,prn,"add",вун-ни
541,заз,зун,prn,"dat",за-з
542,къедлай,къедлай,adv,"",къедлай
543,чара,чара,n,"abs",чара
544,кас,кас,n,"abs",кас
545,я,я,cop,"imperf",я
546,Вакай,вун,prn,"sub,elative",ва-к-ай
547,хьайи,хьа,verb,"aor,ptp",хьа-йи
548,веледни,велед,n,"add",велед-ни
549,заз,зун,prn,"dat",за-з
550,кӀандач,кӀан,verb,"fut,neg",кӀан-да-ч
551,Вири,вири,prn,"",вири
552,хуьруьв,хуьр,n,"ad,essive",хуьруь-в
553,зал,зун,prn,"super,essive",за-л
554,хъуьруьнар,хъуьруь,verb,"msd,pl,abs",хъуьруь-н-ар
555,ийиз,ийи,verb,"inf",ийи-з
556,тур,ту,verb,"aor,ptp",ту-р
557,мердимазар,мердимазар,adj,"",мердимазар
558,хтул,хтул,n,"abs",хтул
559,заз,зун,prn,"dat",за-з
560,акунани,аку,verb,"aor,inter",аку-на-ни
561,кӀандач,кӀан,verb,"fut,neg",кӀан-да-ч
562,Ажай,Ажай,n,"abs",Ажай
563,дамах,дамах,n,"abs",дамах
564,гваз,гва,cop,"cvb",гва-з
565,кьил,кьил,n,"abs",кьил
566,цава,цав,n,"in,essive",цав-а
567,кьуна,кьу,verb,"aoc",кьу-на
568,кӀвализ,кӀвал,n,"dat",кӀвали-з
569,хъфида,хъфи,verb,"fut",хъфи-да
570,Адан,а,prn,"sg,gen",ада-н
571,гуьгъуьниз,гуьгъуьниз,post,"",гуьгъуьниз
572,Рагьим,Рагьим,n,"abs",Рагьим
573,ва,ва,conj,"",ва
574,Варис,Варис,n,"abs",Варис
575,фида,фи,verb,"fut",фи-да
576,ва,ва,conj,"",ва
577,абур,а,prn,"pl,abs",абур
578,гурара,гурар,n,"in,essive",гурар-а
579,акъвазда,акъваз,verb,"fut",акъваз-да
580,Куьне,куьн,prn,"erg",куьне
581,хажалатар,хажалат,n,"pl,abs",хажалат-ар
582,ийимир,ийи,verb,"prohib",ийи-мир
583,балаяр,бала,n,"pl,abs",бала-яр
584,Межлисдин,межлис,n,"gen",межлисди-н
585,шадвилер,шадвил,n,"pl,abs",шадвил-ер
586,давамара,давамара,verb,"imper",давамара
587,Вири,вири,prn,"",вири
588,хъсан,хъсан,adj,"",хъсан
589,куьтягь,куьтягь,verb,"per",куьтягь
590,жеда,же,verb,"fut",же-да
591,Рагьимни,Рагьим,n,"add",Рагьим-ни
592,Варис,Варис,n,"abs",Варис
593,кӀвализ,кӀвал,n,"dat",кӀвали-з
594,фида,фи,verb,"fut",фи-да
595,межлисдин,межлис,n,"gen",межлисди-н
596,итимар,итим,n,"pl,abs",итим-ар
597,мягьтел,мягьтел,adj,"",мягьтел
598,яз,я,cop,"cvb",я-з
599,ракӀариз,ракӀ,n,"pl,dat",ракӀ-ари-з
600,килигиз,килиг,verb,"inf",килиг-из
601,хейлин,хейлин,adj,"",хейлин
602,кисда,кис,verb,"fut",кис-да
603,Мад,мад,adv,"",мад
604,къари,къари,n,"abs",къари
605,дили,дили,adj,"",дили
606,жеда,же,verb,"fut",же-да
607,Чиди,чун,prn,"gen,sg,abs",чи-ди
608,мехъер,мехъер,n,"abs",мехъер
609,хьанач,хьа,verb,"aor,neg",хьа-на-ч
610,Мехъерни,мехъер,n,"add",мехъер-ни
611,жеда,же,verb,"fut",же-да
612,бегьем,бегьем,adv,"",бегьем
613,шадвилерни,шадвил,n,"pl,add",шадвил-ер-ни
614,Ваз,вун,prn,"dat",ва-з
615,Рагьим,Рагьим,n,"abs",Рагьим
