id,word,predicted_stem,predicted_pos,predicted_tags,predicted_sep_form,unrecognized
59,авай,авай,adj,,авай,0
59,авай,авай,postp,,авай,0
59,авай,ава,cop,pst,ава-й,0
59,авай,ава,cop,ptp,ава-й,0
60,Садвал,,,,,1
61,гьерекатдин,гьерекат,n,gen,гьерекатди-н,0
62,съезд,съезд,n,abs,съезд,0
63,Бакуда,Баку,n,"in,essive",Бакуд-а,0
64,цӀи,цӀи,adv,,цӀи,0
65,ачухнавай,ачух,verb,"prf,ptp",ачух-нава-й,0
65,ачухнавай,ачух,verb,"prf,pst",ачух-нава-й,0
66,Хважанжан,,,,,1
67,тӀвар,тӀвар,n,abs,тӀвар,0
68,алай,ала,cop,ptp,ала-й,0
68,алай,ала,cop,pst,ала-й,0
68,алай,алай,adj,,алай,0
69,издательстводин,,,,,1
70,редактор,редактор,n,abs,редактор,0
71,шаир,шаир,n,abs,шаир,0
72,Изет,,,,,1
73,Шерифова,,,,,1
74,ачухна,ачух,verb,aor,ачух-на,0
74,ачухна,ачух,verb,aoc,ачух-на,0
75,Президиум,президиум,n,abs,президиум,0
76,хкягъайдалай,хкягъай,adj,"sg,super,elative",хкягъай-да-л-ай,0
76,хкягъайдалай,хкягъ,verb,"aor,ptp,sg,super,elative",хкягъ-ай-да-л-ай,0
77,гуьгъуьниз,гуьгъуьниз,adv,,гуьгъуьниз,0
77,гуьгъуьниз,гуьгъуьниз,conj,,гуьгъуьниз,0
77,гуьгъуьниз,гуьгъуьниз,postp,,гуьгъуьниз,0
78,доклад,доклад,n,abs,доклад,0
79,авун,аву,verb,msd,аву-н,0
80,патал,пад,n,"super,essive",пата-л,0
80,патал,патал,adj,,патал,0
80,патал,патал,adv,,патал,0
80,патал,патал,postp,,патал,0
81,гаф,гаф,n,abs,гаф,0
82,Дагпединститутдин,,,,,1
83,профессор,профессор,n,abs,профессор,0
84,Абдурагьимоваз,,,,,1
85,гана,га,verb,aor,га-на,0
85,гана,га,verb,aoc,га-на,0
86,Ада,а,prn,"sg,erg",ада,0
86,Ада,а,prn,"sg,in,essive",ад-а,0
87,авур,аву,verb,"aor,ptp",аву-р,0
88,Лезгистан,,,,,1
89,тарих,тарих,n,abs,тарих,0
90,делилар,делил,n,"pl,abs",делил-ар,0
91,вакъиаяр,вакъиа,n,"pl,abs",вакъиа-яр,0
92,докладдихъ,доклад,n,"post,essive",докладди-хъ,0
93,кӀватӀ,кӀватӀ,n,abs,кӀватӀ,0
93,кӀватӀ,кӀватӀ,verb,per,кӀватӀ,0
94,хьанвайбуру,хьанвай,adj,"pl,erg",хьанвай-буру,0
94,хьанвайбуру,хьа,verb,"prf,ptp,pl,erg",хьа-нва-й-буру,0
95,дикъетдивди,дикъетдивди,adv,,дикъетдивди,0
95,дикъетдивди,дикъет,n,"ad,directive",дикъетди-в-ди,0
96,яб,яб,n,abs,яб,0
97,акална,акал,verb,aor,акал-на,0
97,акална,акал,verb,aoc,акал-на,0
98,Докладчиди,докладчи,n,erg,докладчи-ди,0
99,тайин,тайин,adj,,тайин,0
99,тайин,тайин,adv,,тайин,0
99,тайин,тай,verb,hort,тай-ин,0
100,делилрал,делил,n,"pl,super,essive",делил-ра-л,0
101,рекъемрал,рекъем,n,"pl,super,essive",рекъем-ра-л,0
102,бинеламиш,бинеламиш,verb,per,бинеламиш,0
103,хьуналди,хьу,verb,"msd,super,directive",хьу-на-л-ди,0
104,дегьзаманрилай,,,,,1
105,инихъ,инихъ,adv,,инихъ,0
106,лезги,лезги,adj,,лезги,0
106,лезги,лезги,n,abs,лезги,0
107,халкь,халкь,n,abs,халкь,0
107,халкь,халкь,verb,per,халкь,0
108,фейи,фейи,adj,,фейи,0
108,фейи,фе,verb,"aor,ptp",фе-йи,0
109,рекьел,рехъ,n,"super,essive",рекье-л,0
110,адан,а,prn,"sg,gen",ада-н,0
111,гьал,гьал,n,abs,гьал,0
111,гьал,гьал,verb,imper,гьал,0
111,гьал,гьал,verb,per,гьал,0
112,агьвалдал,агьвал,n,"super,essive",агьвалда-л,0
113,яшайишдал,яшайиш,n,"super,essive",яшайишда-л,0
114,культурадал,культура,n,"super,essive",культурада-л,0
115,экономикадал,экономика,n,"super,essive",экономикада-л,0
116,тарихдал,тарих,n,"super,essive",тарихда-л,0
117,искусстводал,,,,,1
118,алай,ала,cop,ptp,ала-й,0
118,алай,алай,adj,,алай,0
118,алай,ала,cop,pst,ала-й,0
119,вахтунда,вахтунда,adv,,вахтунда,0
120,чеб,чеб,prn,,чеб,0
121,гьалун,гьал,verb,msd,гьал-ун,0
122,хцидаказ,хцидаказ,adv,,хцидаказ,0
123,истемишзавай,истемиш,verb,"imperf,pst",истемиш-зава-й,0
123,истемишзавай,истемиш,verb,"imperf,ptp",истемиш-зава-й,0
124,месэлайрал,месэла,n,"pl,super,essive",месэла-йра-л,0
125,кӀватӀ,кӀватӀ,n,abs,кӀватӀ,0
125,кӀватӀ,кӀватӀ,verb,per,кӀватӀ,0
126,хьанвайбурун,хьанвай,adj,"pl,gen",хьанвай-буру-н,0
126,хьанвайбурун,хьа,verb,"prf,ptp,pl,gen",хьа-нва-й-буру-н,0
127,фикир,фикир,n,abs,фикир,0
127,фикир,фикир,verb,per,фикир,0
128,желбна,желб,verb,aor,желб-на,0
128,желбна,желб,verb,aoc,желб-на,0
129,Советрин,советрин,adj,,советрин,0
129,Советрин,совет,n,"pl,gen",совет-ри-н,0
130,власть,власть,n,abs,власть,0
131,жедалди,же,verb,postr,же-далди,0
132,лагьана,лагьа,verb,aoc,лагьа-на,0
132,лагьана,лагьа,verb,aor,лагьа-на,0
132,лагьана,лагьана,conj,,лагьана,0
133,ада,а,prn,"sg,erg",ада,0
133,ада,а,prn,"sg,in,essive",ад-а,0
134,чапхунчийрихъ,чапхунчи,n,"pl,post,essive",чапхунчи-йри-хъ,0
135,галаз,галаз,postp,,галаз,0
135,галаз,гала,cop,cvb,гала-з,0
136,кьиле,кьил,n,erg,кьил-е,0
136,кьиле,кьил,n,"in,essive",кьил-е,0
137,фейи,фейи,adj,,фейи,0
137,фейи,фе,verb,"aor,ptp",фе-йи,0
138,дявейри,дяве,n,"pl,erg",дяве-йри,0
139,гзаф,гзаф,adv,,гзаф,0
140,лезгияр,лезги,n,"pl,abs",лезги-яр,0
141,телеф,телеф,verb,per,телеф,0
142,хьунал,хьу,verb,"msd,super,essive",хьу-на-л,0
143,халкьдин,халкьдин,adj,,халкьдин,0
143,халкьдин,халкь,n,gen,халкьди-н,0
144,руьгьдин,руьгь,n,gen,руьгьди-н,0
145,ва,ва,conj,,ва,0
145,ва,вун,prn,"in,essive",в-а,0
146,материальный,,,,,1
147,культура,культура,n,abs,культура,0
148,кӀватунал,кӀват,verb,"msd,super,essive",кӀват-уна-л,0
149,кхьинрин,кхьи,verb,"msd,pl,gen",кхьи-н-ри-н,0
150,архитектурадин,,,,,1
151,памятникар,памятник,n,"pl,abs",памятник-ар,0
152,девлетар,девлет,n,"pl,abs",девлет-ар,0
153,пуч,пуч,verb,per,пуч,0
154,хьунал,хьу,verb,"msd,super,essive",хьу-на-л,0
155,гъана,гъа,verb,aor,гъа-на,0
156,Ихьтин,ихьтин,adj,,ихьтин,0
157,еке,еке,adj,,еке,0
157,еке,еке,adv,,еке,0
158,магьрумвилеризни,,,,,1
159,килиг,килиг,part,,килиг,0
159,килиг,килиг,verb,imper,килиг,0
159,килиг,килиг,verb,per,килиг,0
160,тавуна,тавуна,adv,,тавуна,0
160,тавуна,аву,verb,"neg,aoc",т-аву-на,0
160,тавуна,аву,verb,"neg,msd,in,essive",т-аву-н-а,0
161,халкьдилай,,,,,1
162,вичин,вич,prn,gen,вичи-н,0
163,хайи,хайи,adj,,хайи,0
163,хайи,ха,verb,"aor,ptp",ха-йи,0
164,чил,чил,n,abs,чил,0
165,руьгьдин,руьгь,n,gen,руьгьди-н,0
166,багьа,багьа,adj,,багьа,0
167,девлет,девлет,n,abs,девлет,0
168,тир,я,cop,ptp,тир,0
168,тир,я,cop,pst,тир,0
168,тир,тир,adj,,тир,0
168,тир,тир,n,"abs",тир,0
169,чӀал,чӀал,n,abs,чӀал,0
170,адетар,адет,n,"pl,abs",адет-ар,0
171,халкьдин,халкьдин,adj,,халкьдин,0
171,халкьдин,халкь,n,gen,халкьди-н,0
172,яратмишунар,яратмиш,verb,"msd,pl",яратмиш-ун-ар,0
173,хуьз,хуь,verb,inf,хуь-з,0
174,ва,ва,conj,,ва,0
174,ва,вун,prn,"in,essive",в-а,0
175,несилрилай,,,,,1
176,несилрал,несил,n,"pl,super,essive",несил-ра-л,0
177,агакьариз,агакьар,verb,inf,агакьар-из,0
178,алакьна,алакь,verb,aor,алакь-на,0
178,алакьна,алакь,verb,aoc,алакь-на,0
179,Гьа,гьа,part,,гьа,0
179,Гьа,гьа,prn,,гьа,0
180,и,и,prn,,и,0
181,кардай,кар,n,"in,elative",кард-а-й,0
181,кардай,кар,verb,"fut,pst",кар-да-й,0
181,кардай,кар,verb,"fut,ptp",кар-да-й,0
182,чна,чун,prn,erg,чна,0
183,адаз,а,prn,"sg,dat",ада-з,0
184,юкь,,,,,1
185,агъузна,агъуз,verb,aoc,агъуз-на,0
185,агъузна,агъуз,verb,aor,агъуз-на,0
186,икрам,икрам,n,abs,икрам,0
186,икрам,икрам,verb,per,икрам,0
187,авуналди,аву,verb,"msd,super,directive",аву-на-л-ди,0
188,баркалла,баркалла,intj,,баркалла,0
189,лугьузва,лугьу,verb,imperf,лугьу-зва,0
190,Докладчиди,докладчи,n,erg,докладчи-ди,0
191,лезги,лезги,adj,,лезги,0
191,лезги,лезги,n,abs,лезги,0
192,халкьдин,халкьдин,adj,,халкьдин,0
192,халкьдин,халкь,n,gen,халкьди-н,0
193,тарихда,тарих,n,"in,essive",тарихд-а,0
194,чпиз,чеб,prn,dat,чпи-з,0
195,чка,чка,n,abs,чка,0
196,хьайи,хьайи,adj,,хьайи,0
196,хьайи,хьа,verb,"aor,ptp",хьа-йи,0
197,хейлин,хейлин,adj,,хейлин,0
198,маса,маса,adj,,маса,0
199,чӀулав,чӀулав,adj,,чӀулав,0
199,чӀулав,чӀулав,verb,per,чӀулав,0
200,лекейриз,леке,n,"pl,dat",леке-йри-з,0
201,талукь,талукь,adj,,талукь,0
202,гзаф,гзаф,adv,,гзаф,0
203,делиларни,делил,n,"pl,abs,add",делил-ар-ни,0
204,гъана,гъа,verb,aor,гъа-на,0
204,гъана,гъа,verb,aoc,гъа-на,0
205,Са,са,num,,са,0
205,Са,са,adj,,са,0
205,Са,са,part,,са,0
206,чкадал,чкадал,adv,,чкадал,0
206,чкадал,чкадал,postp,,чкадал,0
206,чкадал,чка,n,"super,essive",чкада-л,0
207,ленг,,,,,1
208,хьана,хьа,verb,aoc,хьа-на,0
208,хьана,хьа,verb,aor,хьа-на,0
208,хьана,хьана,intj,,хьана,0
209,акъатай,акъатай,adj,,акъатай,0
209,акъатай,акъат,verb,"aor,ptp",акъат-ай,0
210,йисара,йис,n,"pl,in,essive",йис-ар-а,0
211,чи,чи,verb,,чи,0
211,чи,чун,prn,gen,чи,0
212,районрай,район,n,"pl,in,elative",район-р-а-й,0
213,хейлин,хейлин,adj,,хейлин,0
214,хуьрерин,хуьр,n,"pl,gen",хуьр-ери-н,0
215,жемятар,жемят,n,"pl,abs",жемят-ар,0
216,вичин,вич,prn,gen,вичи-н,0
217,халкьдивай,халкь,n,"ad,elative",халкьди-в-ай,0
218,яргъа,яргъа,adj,,яргъа,0
219,авай,ава,cop,ptp,ава-й,0
219,авай,ава,cop,pst,ава-й,0
219,авай,авай,postp,,авай,0
219,авай,авай,adj,,авай,0
220,районриз,район,n,"pl,dat",район-ри-з,0
221,куьчарна,,,,,1
222,абуру,а,prn,"pl,erg",абуру,0
223,хеб,,,,,1
224,мал,мал,n,abs,мал,0
225,хуьзвай,хуь,verb,"imperf,pst",хуь-зва-й,0
225,хуьзвай,хуь,verb,"imperf,ptp",хуь-зва-й,0
226,чӀурар,,,,,1
227,и,и,prn,,и,0
228,кар,кар,n,abs,кар,0
228,кар,кар,verb,per,кар,0
229,патал,пад,n,"super,essive",пата-л,0
229,патал,патал,adj,,патал,0
229,патал,патал,adv,,патал,0
229,патал,патал,postp,,патал,0
230,маса,маса,adj,,маса,0
231,районрин,район,n,"pl,gen",район-ри-н,0
232,майишатриз,майишат,n,"pl,dat",майишат-ри-з,0
233,чара,чара,adj,,чара,0
233,чара,чара,n,abs,чара,0
234,авуна,аву,verb,aoc,аву-на,0
234,авуна,аву,verb,aor,аву-на,0
234,авуна,аву,verb,"msd,in,essive",аву-н-а,0
235,Азербайжандин,Азербайжан,n,gen,Азербайжанди-н,0
236,институтра,институт,n,"pl,in,essive",институт-р-а,0
237,кӀелзавай,кӀел,verb,"imperf,pst",кӀел-зава-й,0
237,кӀелзавай,кӀел,verb,"imperf,ptp",кӀел-зава-й,0
238,азербайжан,азербайжан,adj,,азербайжан,0
239,студентриз,студент,n,"pl,dat",студент-ри-з,0
240,стипендия,стипендия,n,abs,стипендия,0
241,гудайла,гуд,verb,"aor,ptp,temp",гуд-ай-ла,0
241,гудайла,гу,verb,"fut,ptp,temp",гу-да-й-ла,0
242,лезги,лезги,adj,,лезги,0
242,лезги,лезги,n,abs,лезги,0
243,студентар,студент,n,"pl,abs",студент-ар,0
244,анра,,,,,1
245,кӀелунай,кӀел,verb,"msd,in,elative",кӀел-ун-а-й,0
246,чеб,чеб,prn,,чеб,0
247,институтриз,институт,n,"pl,dat",институт-ри-з,0
248,гьакъи,гьакъи,n,abs,гьакъи,0
249,гуниз,гу,verb,"msd,dat",гу-ни-з,0
250,мажбур,мажбур,adj,,мажбур,0
250,мажбур,мажбур,verb,per,мажбур,0
251,авуна,аву,verb,aor,аву-на,0
251,авуна,аву,verb,aoc,аву-на,0
251,авуна,аву,verb,"msd,in,essive",аву-н-а,0
252,Амма,амма,conj,,амма,0
253,гьар,гьар,prn,,гьар,0
254,са,са,adj,,са,0
254,са,са,num,,са,0
254,са,са,part,,са,0
255,чӀуру,чӀуру,adj,,чӀуру,0
256,кардин,кар,n,gen,карди-н,0
257,эхир,эхир,adv,,эхир,0
257,эхир,эхир,n,abs,эхир,0
257,эхир,эхир,part,,эхир,0
258,жедайвал,жедайвал,adv,,жедайвал,0
258,жедайвал,же,verb,"fut,ptp,man",же-да-й-вал,0
259,чи,чи,verb,,чи,0
259,чи,чун,prn,gen,чи,0
260,халкьдин,халкьдин,adj,,халкьдин,0
260,халкьдин,халкь,n,gen,халкьди-н,0
261,кьилел,кьилел,adv,,кьилел,0
261,кьилел,кьилел,postp,,кьилел,0
261,кьилел,кьил,n,"super,essive",кьиле-л,0
262,атай,ата,verb,"aor,ptp",ата-й,0
263,бедбахтвилерин,,,,,1
264,эхирни,эхирни,adv,,эхирни,0
264,эхирни,эхир,n,add,эхир-ни,0
265,мукьвал,мукьвал,adj,,мукьвал,0
265,мукьвал,мукьвал,adv,,мукьвал,0
265,мукьвал,мукьвал,verb,per,мукьвал,0
266,жезва,же,verb,imperf,же-зва,0
267,И,и,prn,,и,0
268,йикъара,югъ,n,"pl,in,essive",йикъ-ар-а,0
269,кьиле,кьил,n,erg,кьил-е,0
269,кьиле,кьил,n,"in,essive",кьил-е,0
270,фейи,фейи,adj,,фейи,0
270,фейи,фе,verb,"aor,ptp",фе-йи,0
271,Советрин,советрин,adj,,советрин,0
271,Советрин,совет,n,"pl,gen",совет-ри-н,0
272,Союздин,союз,n,gen,союзди-н,0
273,Коммунистрин,коммунист,n,"pl,gen",коммунист-ри-н,0
274,партиядин,партия,n,gen,партияди-н,0
275,съезддин,съезд,n,gen,съездди-н,0
276,Инсанпересвилин,,,,,1
277,демократический,,,,,1
278,социализмдихъ,социализм,n,"post,essive",социализмди-хъ,0
279,кьил,кьил,n,abs,кьил,0
280,ганвай,га,verb,"prf,ptp",га-нва-й,0
280,ганвай,га,verb,"prf,pst",га-нва-й,0
281,программный,,,,,1
282,малуматда,малумат,n,"in,essive",малуматд-а,0
283,къейднавайвал,,,,,1
284,миллетри,миллет,n,"pl,erg",миллет-ри,0
285,та,та,part,,та,0
286,чара,чара,adj,,чара,0
286,чара,чара,n,abs,чара,0
287,хьунал,хьу,verb,"msd,super,essive",хьу-на-л,0
288,къведалди,къве,verb,postr,къве-далди,0
289,чпин,чеб,prn,gen,чпи-н,0
290,кьисмет,кьисмет,n,abs,кьисмет,0
290,кьисмет,кьисмет,verb,per,кьисмет,0
291,чпи,чеб,prn,erg,чпи,0
292,тайинарунин,тайинар,verb,"msd,gen",тайинар-уни-н,0
293,ихтияр,ихтияр,n,abs,ихтияр,0
294,гьисаба,гьисаба,verb,imper,гьисаба,0
295,кьунал,кьун,n,"super,essive",кьуна-л,0
296,бинеламиш,бинеламиш,verb,per,бинеламиш,0
297,жезва,же,verb,imperf,же-зва,0
298,Ихьтин,ихьтин,adj,,ихьтин,0
299,зурба,зурба,adj,,зурба,0
300,дегишвилер,,,,,1
301,мумкинвилер,,,,,1
302,гьелбетда,гьелбетда,part,,гьелбетда,0
303,перестройкадихъ,перестройка,n,"post,essive",перестройкади-хъ,0
304,дуьнья,дуьнья,n,abs,дуьнья,0
305,цӀийикӀа,цӀийикӀа,adv,,цӀийикӀа,0
306,туькӀуьр,туькӀуьр,verb,per,туькӀуьр,0
306,туькӀуьр,туькӀуь,verb,aimpp,туькӀуь-р,0
307,хъувунин,хъуву,verb,"msd,gen",хъуву-ни-н,0
308,советрин,советрин,adj,,советрин,0
308,советрин,совет,n,"pl,gen",совет-ри-н,0
309,государстводин,,,,,1
310,руководстводин,руководство,n,gen,руководстводи-н,0
311,цӀийи,цӀийи,adj,,цӀийи,0
312,концепциядихъ,,,,,1
313,галаз,галаз,postp,,галаз,0
313,галаз,гала,cop,cvb,гала-з,0
314,алакъалу,алакъалу,adj,,алакъалу,0
315,яз,я,cop,cvb,я-з,0
316,арадал,ара,n,"super,essive",арада-л,0
317,атанвайди,ата,verb,"prf,ptp,sg,abs",ата-нва-й-ди,0
318,я,я,cop,imperf,я,0
318,я,я,conj,,я,0
318,я,я,part,,я,0
319,Чна,чун,prn,erg,чна,0
320,и,и,prn,,и,0
321,кардал,кар,n,"super,essive",карда-л,0
322,еке,еке,adj,,еке,0
322,еке,еке,adv,,еке,0
323,шадвал,шадвал,verb,per,шадвал,0
324,ийизва,ийи,verb,imperf,ийи-зва,0
325,ва,ва,conj,,ва,0
325,ва,вун,prn,"in,essive",в-а,0
326,чи,чи,verb,,чи,0
326,чи,чун,prn,gen,чи,0
327,разивал,разивал,verb,per,разивал,0
328,къалурзава,къалур,verb,imperf,къалур-зава,0
329,Стха,стха,n,abs,стха,0
330,халкьарин,халкь,n,"pl,gen",халкь-ари-н,0
331,дуствилин,,,,,1
332,хзанда,хзан,n,"in,essive",хзанд-а,0
333,аваз,ава,cop,cvb,ава-з,0
333,аваз,аваз,n,abs,аваз,0
334,жуван,жуван,adj,,жуван,0
334,жуван,жув,prn,gen,жува-н,0
335,кьисмет,кьисмет,n,abs,кьисмет,0
335,кьисмет,кьисмет,verb,per,кьисмет,0
336,жува,жув,prn,erg,жува,0
336,жува,жув,prn,"in,essive",жув-а,0
337,гьялдай,гьял,verb,"fut,pst",гьял-да-й,0
337,гьялдай,гьял,verb,"fut,ptp",гьял-да-й,0
338,мумкинвал,,,,,1
339,хьунилай,,,,,1
340,еке,еке,adj,,еке,0
340,еке,еке,adv,,еке,0
341,бахт,бахт,n,abs,бахт,0
342,жедани,же,verb,"fut,inter",же-да-ни,0
343,мегер,мегер,part,,мегер,0
344,Съезддин,съезд,n,gen,съездди-н,0
345,делегатри,делегат,n,"pl,erg",делегат-ри,0
346,доклад,доклад,n,abs,доклад,0
347,разивилелди,разивилелди,adv,,разивилелди,0
348,кьабулна,кьабул,verb,aor,кьабул-на,0
348,кьабулна,кьабул,verb,aoc,кьабул-на,0
349,Ахпа,ахпа,adv,,ахпа,0
349,Ахпа,ахпа,postp,,ахпа,0
350,адан,а,prn,"sg,gen",ада-н,0
351,винел,винел,adv,,винел,0
351,винел,винел,postp,,винел,0
352,рахунар,рахунар,verb,per,рахунар,0
352,рахунар,раху,verb,"msd,pl",раху-н-ар,0
353,кьиле,кьил,n,erg,кьил-е,0
353,кьиле,кьил,n,"in,essive",кьил-е,0
354,фена,фе,verb,aor,фе-на,0
354,фена,фе,verb,aoc,фе-на,0
355,Трибунадихъ,трибуна,n,"post,essive",трибунади-хъ,0
356,ДГУдин,,,,,1
357,профессор,профессор,n,abs,профессор,0
358,Гюльмагомедов,,,,,1
359,Махачкъала,Махачкъала,n,abs,Махачкъала,0
360,шегьер,шегьер,n,abs,шегьер,0
361,РСФСРдин,,,,,1
362,лайихлу,лайихлу,adj,,лайихлу,0
363,агроном,агроном,n,abs,агроном,0
364,Эльдеров,,,,,1
365,писатель,писатель,n,abs,писатель,0
366,Гьакимов,,,,,1
367,шаир,шаир,n,abs,шаир,0
368,Нагъиев,,,,,1
369,Махачкъала,Махачкъала,n,abs,Махачкъала,0
370,шегьер,шегьер,n,abs,шегьер,0
371,писатель,писатель,n,abs,писатель,0
372,Ризванов,,,,,1
373,журналист,журналист,n,abs,журналист,0
374,Аскеров,,,,,1
375,муаллим,муаллим,n,abs,муаллим,0
376,Шерифов,,,,,1
377,КцӀар,,,,,1
378,шегьер,шегьер,n,abs,шегьер,0
379,ва,ва,conj,,ва,0
379,ва,вун,prn,"in,essive",в-а,0
380,район,район,n,abs,район,0
381,культработник,,,,,1
382,Гьажиев,,,,,1
383,Къачмаз,,,,,1
384,район,район,n,abs,район,0
385,режиссер,режиссер,n,abs,режиссер,0
386,Регьимханов,,,,,1
387,Сумгаит,,,,,1
388,шегьер,шегьер,n,abs,шегьер,0
389,шаир,шаир,n,abs,шаир,0
390,Саидгьасанов,,,,,1
391,журналист,журналист,n,abs,журналист,0
392,Атаев,,,,,1
393,Махачкъала,Махачкъала,n,abs,Махачкъала,0
394,шегьер,шегьер,n,abs,шегьер,0
395,алишверишдин,алишвериш,n,gen,алишверишди-н,0
396,работник,работник,n,abs,работник,0
397,Мирзоев,,,,,1
398,Ахцегь,,,,,1
399,район,район,n,abs,район,0
400,ва,ва,conj,,ва,0
400,ва,вун,prn,"in,essive",в-а,0
401,маса,маса,adj,,маса,0
402,юлдашар,юлдаш,n,"pl,abs",юлдаш-ар,0
403,экъечӀна,экъечӀ,verb,aor,экъечӀ-на,0
403,экъечӀна,экъечӀ,verb,aoc,экъечӀ-на,0
403,экъечӀна,экъечӀна,adv,,экъечӀна,0
404,Абуру,а,prn,"pl,erg",абуру,0
405,съезддал,съезд,n,"super,essive",съездда-л,0
406,гьялзавай,гьял,verb,"imperf,pst",гьял-зава-й,0
406,гьялзавай,гьял,verb,"imperf,ptp",гьял-зава-й,0
407,месэлайрикай,месэла,n,"pl,sub,elative",месэла-йри-к-ай,0
408,чпин,чеб,prn,gen,чпи-н,0
409,фикирар,фикир,n,"pl,abs",фикир-ар,0
410,лагьана,лагьа,verb,aor,лагьа-на,0
410,лагьана,лагьа,verb,aoc,лагьа-на,0
410,лагьана,лагьана,conj,,лагьана,0
411,Рахунрилай,,,,,1
412,гуьгъуьниз,гуьгъуьниз,adv,,гуьгъуьниз,0
412,гуьгъуьниз,гуьгъуьниз,conj,,гуьгъуьниз,0
412,гуьгъуьниз,гуьгъуьниз,postp,,гуьгъуьниз,0
413,делегатри,делегат,n,"pl,erg",делегат-ри,0
414,мандатный,,,,,1
415,комиссиядин,комиссия,n,gen,комиссияди-н,0
416,председателдихъ,,,,,1
417,яб,яб,n,abs,яб,0
418,акална,акал,verb,aor,акал-на,0
418,акална,акал,verb,aoc,акал-на,0
419,Сад,сад,num,,сад,0
420,лагьай,лагьай,conj,,лагьай,0
420,лагьай,лагьай,ord,,лагьай,0
420,лагьай,лагьа,verb,"aor,ptp",лагьа-й,0
421,съезддал,съезд,n,"super,essive",съездда-л,0
422,лезги,лезги,adj,,лезги,0
422,лезги,лезги,n,abs,лезги,0
423,халкьдин,халкьдин,adj,,халкьдин,0
423,халкьдин,халкь,n,gen,халкьди-н,0
424,гьерекатдин,гьерекат,n,gen,гьерекатди-н,0
425,касдикай,кас,n,"sub,elative",касди-к-ай,0
