id,word,predicted_stem,predicted_pos,predicted_tags,predicted_sep_form,unrecognized
82,гзаф,гзаф,adv,,гзаф,0
83,муаллимривай,муаллим,n,"pl,ad,elative",муаллим-ри-в-ай,0
84,и,и,prn,,и,0
85,ктабдиз,ктаб,n,dat,ктабди-з,0
86,тенкъиддин,,,,,1
87,вилелди,,,,,1
88,килигна,килиг,verb,aoc,килиг-на,0
88,килигна,килиг,verb,aor,килиг-на,0
88,килигна,килигна,postp,,килигна,0
89,квай,ква,cop,ptp,ква-й,0
89,квай,ква,cop,pst,ква-й,0
90,кимивилер,,,,,1
91,ахтармишна,ахтармиш,verb,aoc,ахтармиш-на,0
91,ахтармишна,ахтармиш,verb,aor,ахтармиш-на,0
92,къалурун,къалур,verb,msd,къалур-ун,0
93,тӀалаб,тӀалаб,n,abs,тӀалаб,0
93,тӀалаб,тӀалаб,verb,per,тӀалаб,0
94,ийизва,ийи,verb,imperf,ийи-зва,0
95,за,зун,prn,erg,за,0
95,за,зун,prn,"in,essive",з-а,0
