word,analysis,sep_form
Амма,амма<conj>,амма
жанавурдиз,жанавур<n>><dat>,жанавурди-з
ада,а<prn>><sg><erg>/а<prn>><sg>><in><essive>,а-да/а-д-а
вич,вич<prn>,вич
и,и<prn>,и
икьрардал,икьрар<n>><super><essive>,икьрарда-л
рази,рази<adj>,рази
тирди,тир<adj>><sg><abs>/тир<n>><erg>,тир-ди/тирд-и
малумарна,малумар<verb>><aoc>/малумар<verb>><aor>,малумар-на/малумар-на
АкӀ,акӀ<adv>,акӀ
хьайила,хьа<verb>><aor><ptp>><temp>,хьа-йи-ла
зун,з<prn>><abs>,з-ун
хкведалди,*,*
вун,в<prn>><abs>,в-ун
санизни,*,*
фимир,фи<verb>><prohib>,фи-мир
гьа,гьа<part>/гьа<prn>,гьа/гьа
Керекул,керекул<n><abs>,керекул
цавуз,*,*
хкаж,хкаж<verb>/хкаж<verb><imper>,хкаж/хкаж
хьана,хьана<intj>/хьа<verb>><aoc>/хьа<verb>><aor>,хьана/хьа-на/хьа-на
хуьруьн,хуьруьн<adj>/хуьр<n>><gen>,хуьруьн/хуьруь-н
уьруьшрилай,*,*
цӀар,цӀар<n><abs>,цӀар
элкъуьрна,элкъуьр<verb>><aoc>/элкъуьр<verb>><aor>,элкъуьр-на/элкъуьр-на
хтана,*,*
Фад,фад<adj>/фад<adv>,фад/фад
гьазур,гьазур<adj>/гьазур<verb>,гьазур/гьазур
хьухь,хьухь<n><abs>/хьухь<verb><imper>,хьухь/хьухь
жанавур,жанавур<n><abs>,жанавур
Жуван,жуван<adj>/жув<prn>><gen>,жуван/жува-н
сарариз,*,*
къилав,къилав<n><abs>,къилав
це,це<intj>/це<verb><imper>,це/це
Заз,з<prn>><dat>,за-з
касни,касни<prn>/кас<n>><add>,касни/кас-ни
галачиз,гала<cop>><neg>><cvb>,гала-ч-из
чпин,чеб<prn>><gen>,чпи-н
ихтиярдалди,ихтияр<n>><super>><directive>,ихтияр-далди
векь,*,*
незвай,не<verb>><imperf>><pst>/не<verb>><imperf>><ptp>,не-зва-й/не-зва-й
лапагар,лапаг<n>><pl><abs>,лапаг-ар
акунва,аку<verb>><prf>,аку-нва
Абур,абур<n><abs>/а<prn>><pl><abs>,абур/а-бур
гьинал,*,*
ала,ала<adj>/ала<cop><imperf>,ала/ала
хвеши,хвеши<adj>,хвеши
хьана,хьана<intj>/хьа<verb>><aoc>/хьа<verb>><aor>,хьана/хьа-на/хьа-на
тадиз,тадиз<adv>,тадиз
хабар,хабар<n><abs>/хабар<verb>,хабар/хабар
кьуна,кьуна<adv>/кьун<n>><erg>/кьун<n>><in><essive>/кьу<verb>><aoc>/кьу<verb>><aor>,кьуна/кьун-а/кьун-а/кьу-на/кьу-на
жанавурди,жанавур<n>><erg>,жанавур-ди
За,з<prn>><erg>/з<prn>><in><essive>,з-а/з-а
цавай,*,*
лув,лув<n><abs>,лув
гуда,гуда<verb><imper>/гу<verb>><fut>,гуда/гу-да
вун,в<prn>><abs>,в-ун
зи,з<prn>><gen>,з-и
гьараюнин,гьараюн<n>><gen>,гьараюни-н
ванцелди,*,*
ша,ша<part>/ша<verb><imper>,ша/ша
Жанавур,жанавур<n><abs>,жанавур
рази,рази<adj>,рази
хьана,хьана<intj>/хьа<verb>><aoc>/хьа<verb>><aor>,хьана/хьа-на/хьа-на
Керекулди,керекул<n>><erg>,керекул-ди
гьарайиз,гьарай<verb>><inf>,гьарай-из
гьарайиз,гьарай<verb>><inf>,гьарай-из
цавай,*,*
лув,лув<n><abs>,лув
гана,га<verb>><aoc>/га<verb>><aor>,га-на/га-на
Ахпа,ахпа<adv>/ахпа<post>,ахпа/ахпа
лапагар,лапаг<n>><pl><abs>,лапаг-ар
авай,ава<cop>><pst>/ава<cop>><ptp>,ава-й/ава-й
векьин,*,*
юкьвал,юкьвал<post>,юкьвал
алай,алай<adj>/ала<cop>><pst>/ала<cop>><ptp>,алай/ала-й/ала-й
мегъуьн,*,*
тарцин,тар<n>><gen>,тарци-н
кукӀваз,*,*
хкаж,хкаж<verb>/хкаж<verb><imper>,хкаж/хкаж
хьана,хьана<intj>/хьа<verb>><aoc>/хьа<verb>><aor>,хьана/хьа-на/хьа-на
ада,а<prn>><sg><erg>/а<prn>><sg>><in><essive>,а-да/а-д-а
гьанлай,*,*
гьарайиз,гьарай<verb>><inf>,гьарай-из
башламишна,башламиш<verb>><aoc>/башламиш<verb>><aor>,башламиш-на/башламиш-на
Ада,а<prn>><sg><erg>/а<prn>><sg>><in><essive>,а-да/а-д-а
тфенг,тфенг<n><abs>,тфенг
къуьне,*,*
аваз,аваз<n><abs>/ава<cop>><cvb>,аваз/ава-з
и,и<prn>,и
тарцин,тар<n>><gen>,тарци-н
кӀаник,кӀаник<adv>/кӀаник<post>/кӀаник<verb>/кӀан<n>><sub><essive>,кӀаник/кӀаник/кӀаник/кӀани-к
акъвазнавай,акъваз<verb>><prf>><pst>/акъваз<verb>><prf>><ptp>,акъваз-нава-й/акъваз-нава-й
чубандин,чубан<n>><gen>,чубанди-н
фикир,фикир<n><abs>/фикир<verb>,фикир/фикир
вичел,*,*
желбзавай,желб<verb>><imperf>><pst>/желб<verb>><imperf>><ptp>,желб-зава-й/желб-зава-й
Керекулдин,керекул<n>><gen>,керекулди-н
сив,сив<n><abs>,сив
акъваззавачир,акъваз<verb>><imperf>><neg>><pst>,акъваз-зава-ч-ир
Ада,а<prn>><sg><erg>/а<prn>><sg>><in><essive>,а-да/а-д-а
чубандиз,чубан<n>><dat>,чубанди-з
хаталувиликай,*,*
хабар,хабар<n><abs>/хабар<verb>,хабар/хабар
гузвай,гу<verb>><imperf>><pst>/гу<verb>><imperf>><ptp>,гу-зва-й/гу-зва-й
Ина,ина<adv>,ина
вуч,вуч<prn>,вуч
аватӀани,*,*
са,са<num>,са
кар,кар<n><abs>/кар<verb>,кар/кар
ава,ава<cop><imperf>,ава
Белки,белки<intj>,белки
адаз,а<prn>><sg>><dat>,а-да-з
жанавур,жанавур<n><abs>,жанавур
аквазватӀа,аква<verb>><imperf>><cnd>,аква-зва-тӀа
Чубанди,чубан<n>><erg>,чубан-ди
тадиз,тадиз<adv>,тадиз
вичин,вич<prn>><gen>,вичи-н
хъуьчӀе,*,*
авай,авай<adj>/авай<post>/ава<cop>><pst>/ава<cop>><ptp>,авай/авай/ава-й/ава-й
тфенг,тфенг<n><abs>,тфенг
акъудна,акъуд<verb>><aoc>/акъуд<verb>><aor>,акъуд-на/акъуд-на
гъилерал,гъил<n>><pl>><super><essive>,гъил-ера-л
вегьена,вегье<verb>><aoc>/вегье<verb>><aor>,вегье-на/вегье-на
тарцин,тар<n>><gen>,тарци-н
далдадик,далда<n>><sub><essive>,далдади-к
акъвазна,акъваз<verb>><aoc>/акъваз<verb>><aor>,акъваз-на/акъваз-на
тамун,тамун<adj>/там<n>><gen>,тамун/таму-н
къерех,къерех<n><abs>/къерех<verb>,къерех/къерех
гуьзетиз,гуьзет<verb>><inf>,гуьзет-из
башламишна,башламиш<verb>><aoc>/башламиш<verb>><aor>,башламиш-на/башламиш-на
Керекулди,керекул<n>><erg>,керекул-ди
гьараюн,гьараюн<n><abs>,гьараюн
давамарзавай,давамар<verb>><imperf>><pst>/давамар<verb>><imperf>><ptp>,давамар-зава-й/давамар-зава-й
Ада,а<prn>><sg><erg>/а<prn>><sg>><in><essive>,а-да/а-да
жанавурдиз,жанавур<n>><dat>,жанавурди-з
Фад,фад<adj>/фад<adv>,фад/фад
иниз,иниз<adv>,иниз
ша,ша<part>/ша<verb><imper>,ша/ша
фад,фад<adj>/фад<adv>,фад/фад
иниз,иниз<adv>,иниз
ша,ша<part>/ша<verb><imper>,ша/ша
чубандизни,чубан<n>><dat>><add>,чубанди-з-ни
Мукъаят,мукъаят<adj>/мукъаят<adv>,мукъаят/мукъаят
хьухь,хьухь<n><abs>/хьухь<verb><imper>,хьухь/хьухь
мукъаят,мукъаят<adj>/мукъаят<adv>,мукъаят/мукъаят
хьухь,хьухь<n><abs>/хьухь<verb><imper>,хьухь/хьухь
душман,душман<adj>/душман<n><abs>,душман/душман
къвезва,къве<verb>><imperf>,къве-зва
лугьузвай,лугьу<verb>><imperf>><pst>/лугьу<verb>><imperf>><ptp>,лугьу-зва-й/лугьу-зва-й
Са,са<num>,са
арадилай,ара<n>><super>><elative>,аради-л-ай
жанавур,жанавур<n><abs>,жанавур
атана,атана<part>/ата<verb>><aoc>/ата<verb>><aor>,атана/ата-на/ата-на
акъатна,акъатна<adv>/акъат<verb>><aoc>/акъат<verb>><aor>,акъатна/акъат-на/акъат-на
Сифте,сифте<adj>/сифте<adv>,сифте/сифте
ам,а<prn>><sg><abs>,а-м
тамукай,там<n>><sub>><elative>,таму-к-ай
мукъаятвилелди,мукъаятвилелди<adv>,мукъаятвилелди
хипериз,*,*
килигна,килигна<post>/килиг<verb>><aoc>/килиг<verb>><aor>,килигна/килиг-на/килиг-на
Вилериз,вилер<verb>><inf>/вил<n>><pl>><dat>,вилер-из/вил-ери-з
кас,кас<n><abs>,кас
мас,мас<n><abs>,мас
такурла,*,*
ада,а<prn>><sg><erg>/а<prn>><sg>><in><essive>,а-да/а-д-а
виликди,виликди<adv>/вилик<adj>><sg><abs>/вилик<verb>><afut>/вил<n>><sub>><directive>,виликди/вилик-ди/вилик-ди/вили-к-ди
еримишна,еримиш<verb>><aoc>/еримиш<verb>><aor>,еримиш-на/еримиш-на
Гьа,гьа<part>/гьа<prn>,гьа/гьа
и,и<prn>,и
арада,арада<post>/ара<n>><in><essive>,арада/арад-а
тарцик,тар<n>><sub><essive>,тарци-к
чуьнуьх,чуьнуьх<verb>,чуьнуьх
хьанвай,хьанвай<adj>/хьа<verb>><prf>><pst>/хьа<verb>><prf>><ptp>,хьанвай/хьа-нва-й/хьа-нва-й
чубандин,чубан<n>><gen>,чубанди-н
тфенгни,тфенг<n>><add>,тфенг-ни
акъатна,акъатна<adv>/акъат<verb>><aoc>/акъат<verb>><aor>,акъатна/акъат-на/акъат-на
Угъри,угъри<n><abs>,угъри
жанавурдин,жанавур<n>><gen>,жанавурди-н
кьилел,кьилел<adv>/кьилел<post>/кьил<n>><super><essive>,кьилел/кьилел/кьиле-л
вуч,вуч<prn>,вуч
дуьшуьш,дуьшуьш<n><abs>,дуьшуьш
атанатӀа,ата<verb>><aor>><cnd>,ата-на-тӀа
квез,кв<prn>><dat>,кве-з
хъсандиз,хъсандиз<adv>,хъсандиз
акуна,акун<n>><in><essive>/аку<verb>><aoc>/аку<verb>><aor>,акун-а/аку-на/аку-на
