id,word,stem,pos,tags,sep_form
317,тфенг,тфенг,n,"abs",тфенг
318,вагьшиди,вагьши,adj,"sg,abs",вагьши-ди
319,угьривилер,угьривил,n,"pl,abs",угьривил-ер
320,ийизвай,ийи,verb,"imperf,ptp",ийи-зва-й
321,патахъ,пад,n,"post,essive",пата-хъ
322,туькӀуьрна,туькӀуьр,verb,"aoc",туькӀуьр-на
323,фикиррик,фикир,n,"pl,sub,essive,",фикир-ри-к
324,акатна,акат,verb,"aor",акат-на
325,Адавай,а,prn,"sg,ad,elative",ада-в-ай
326,къарпузар,къарпуз,n,"pl,abs",къарпуз-ар
327,нез,не,verb,"inf",не-з
328,жеда,же,verb,"fut",же-да
329,жал,жал,part,"",жал
330,Жеда,же,verb,"fut",же-да
331,Гишин,гишин,adj,"",гишин
332,я,я,cop,"imperf",я
333,Зи,зун,prn,"gen",зи
334,къуншидин,къунши,n,"gen",къуншиди-н
335,кицӀи,кицӀ,n,"erg",кицӀ-и
336,гьи,гьи,prn,"",гьи
337,емиш,емиш,n,"abs",емиш
338,хьайитӀани,хьайитӀани,prn,"",хьайитӀани
339,неда,не,verb,"fut",не-да
340,са,са,num,"",са
341,сеферда,сефер,n,"in,essive",сеферд-а
342,гьатта,гьатта,part,"",гьатта
343,еке,еке,adj,"",еке
344,са,са,num,"",са
345,афнини,афни,n,"add",афни-ни
346,кваз,кваз,part,"",кваз
347,тӀуьна,тӀуь,verb,"aor",тӀуь-на
348,Хутар,хут,n,"pl,abs",хут-ар
349,хатрутар,хатрут,n,"pl,abs",хатрут-ар
350,адан,а,prn,"sg,gen",ада-н
351,рикӀ,рикӀ,n,"abs",рикӀ
352,алай,ала,cop,"ptp",ала-й
353,ем,ем,n,"abs",ем
354,я,я,cop,"imperf",я
355,Къарпуз,къарпуз,n,"abs",къарпуз
356,дадуниз,дад,n,"dat",дадуни-з
357,гзаф,гзаф,adv,"",гзаф
358,емишрилай,емиш,n,"pl,super,elative",емиш-ри-л-ай
359,хъсан,хъсан,adj,"",хъсан
360,я,я,cop,"imperf",я
361,эхир,эхир,part,"",эхир
362,Заз,зун,prn,"dat",за-з
363,жанавурди,жанавур,n,"erg",жанавур-ди
364,и,и,prn,"",и
365,юкъуз,юкъ,n,"dat",юкъу-з
366,бустанда,бустан,n,"in,essive",бустанд-а
367,угьривилер,угьривил,n,"pl,abs",угьривил-ер
368,авун,аву,verb,"msd",аву-н
369,бегьем,бегьем,adj,"",бегьем
369,бегьем,бегьем,adv,"",бегьем
370,сирлу,сирлу,adj,"",сирлу
371,кар,кар,n,"abs",кар
372,хьана,хьа,verb,"aor",хьа-на
373,Им,и,prn,"sg,abs",им
374,вуч,вуч,prn,"",вуч
375,лагьай,лагьа,verb,"aor,ptp",лагьа-й
376,чӀал,чӀал,n,"abs",чӀал
377,я,я,cop,"imperf",я
378,И,и,prn,"",и
379,суалдиз,суал,n,"dat",суалди-з
380,заз,зун,prn,"dat",за-з
381,жавабни,жаваб,n,"add",жаваб-ни
382,жагъана,жагъа,verb,"aor",жагъа-на
383,бустанчидин,бустанчи,n,"gen",бустанчиди-н
384,кицӀер,кицӀ,n,"pl,abs",кицӀ-ер
385,йифиз,йиф,n,"dat",йифи-з
386,уях,уях,adj,"",уях
387,я,я,cop,"imperf",я
388,абуру,а,prn,"pl,erg",абуру
389,жанавур,жанавур,n,"abs",жанавур
390,бустандиз,бустан,n,"dat",бустанди-з
391,ахъайдач,ахъай,verb,"fut,neg",ахъай-да-ч
392,исятда,исятда,adv,"",исятда
393,абур,а,prn,"pl,abs",абур
394,гьар,гьар,prn,"",гьар
395,сад,сад,num,"",сад
396,са,са,num,"",са
397,кулан,кул,n,"gen",кула-н
398,дибда,диб,n,"in,essive",дибд-а
399,кьилер,кьил,n,"pl,abs",кьил-ер
400,кьвехве,кьвехв,n,"in,essive",кьвехв-е
401,туна,ту,verb,"aoc",ту-на
402,ширин,ширин,adj,"",ширин
403,ахварал,ахвар,n,"super,essive",ахвара-л
404,ала,ала,cop,"imperf",ала
405,хъсан,хъсан,adj,"",хъсан
406,секин,секин,adj,"",секин
407,вахт,вахт,n,"abs",вахт
408,я,я,cop,"imperf",я
409,Аквар,аква,verb,"aimpp",аква-р
410,гьаларай,гьал,n,"pl,in,elative",гьал-ар-а-й
411,и,и,prn,"",и
412,кар,кар,n,"abs",кар
413,жанавурдиз,жанавур,n,"dat",жанавурди-з
414,хъсан,хъсан,adj,"",хъсан
415,чида,чи,verb,"fut",чи-да
416,Вагьши,вагьши,adj,"",вагьши
417,акьалтӀай,акьалтӀай,adj,"",акьалтӀай
418,фендигар,фендигар,n,"abs",фендигар
419,я,я,cop,"imperf",я
420,Зур,зур,n,"abs",зур
421,сят,сят,n,"abs",сят
422,алатна,алат,verb,"aor",алат-на
423,жеди,жеди,part,"",жеди
424,жанавур,жанавур,n,"abs",жанавур
425,мад,мад,adv,"",мад
426,атана,ата,verb,"aor",ата-на
427,Вагьши,вагьши,adj,"",вагьши
428,цавуз,цав,n,"dat",цаву-з
429,гадар,гадар,verb,"per",гадар
430,хьана,хьа,verb,"aor",хьа-на
431,ахпа,ахпа,postp,"",ахпа
432,чилел,чил,n,"super,essive",чиле-л
433,алукьна,алукь,verb,"aor",алукь-на
434,мад,мад,adv,"",мад
435,юзун,юзу,verb,"per",юзу-н
436,хъувунач,хъуву,verb,"aor\,neg",хъуву-на-ч
437,Инсанри,инсан,n,"pl,erg",инсан-ри
438,лугьудайвал,лугьу,verb,"fut,ptp,man",лугьу-да-й-вал
439,виш,виш,num,"",виш
440,йисуз,йис,n,"dat",йису-з
441,яшамиш,яшамиш,verb,"per",яшамиш
442,хьухь,хьухь,verb,"imper",хьухь
443,виш,виш,num,"",виш
444,йисузни,йис,n,"dat,add",йису-з-ни
445,дуьньядин,дуьнья,n,"gen",дуьньяди-н
446,сирер,сир,n,"pl,abs",сир-ер
447,чира,чира,verb,"imper",чир-а
448,абур,а,prn,"pl,abs",абур
449,бегьем,бегьем,adv,"",бегьем
450,чир,чир,verb,"per",чир
451,хьайитӀа,хьа,verb,"aor,ptp,cnd",хьа-йи-тӀа
452,хъсан,хъсан,adj,"",хъсан
453,я,я,cop,"imperf",я
454,Букар,букар,n,"abs",букар
455,халудивай,халу,n,"ad,elative",халуди-в-ай
456,вичин,вич,prn,"gen",вичи-н
457,шадвал,шадвал,n,"abs",шадвал
458,винел,винел,postp,"",винел
459,акъуд,акъуд,verb,"per",акъуд 
460,тавуна,аву,verb,"neg,aoc",т-аву-на
461,акъвазиз,акъваз,verb,"inf",акъваз-из
462,хьанач,хьа,verb,"aor,neg",хьа-на-ч
463,За,зун,prn,"erg",за
464,ам,а,prn,"sg,abs",ам
465,атӀа,атӀа,prn,"",атӀа
466,далудал,далу,n,"super,essive",далуда-л
467,рипер,рип,n,"pl,abs",рип-ер
468,хьтин,хьтин,part,"",хьтин
469,цацар,цац,n,"pl,abs",цац-ар
470,алай,ала,cop,"ptp",ала-й
471,дикобраз,дикобраз,n,"abs",дикобраз
472,тӀвар,тӀвар,n,"abs",тӀвар
473,алай,ала,cop,"ptp",ала-й
474,вагьши,вагьши,adj,"",вагьши
475,гьайван,гьайван,n,"abs",гьайван
476,ятӀа,я,cop,"cnd",я-тӀа
477,лугьузвай,лугьу,verb,"imperf,ptp",лугьу-зва-й
478,Жанавурди,жанавур,n,"erg",жанавур-ди
479,къарпузар,къарпуз,n,"pl,abs",къарпуз-ар
480,тарашун,тараш,verb,"msd",тараш-ун
481,гьич,гьич,adv,"",гьич
482,фикирдизни,фикир,n,"dat,add",фикирди-з-ни
483,къведай,къве,verb,"fut,ptp",къве-да-й
484,кӀвалах,кӀвалах,n,"abs",кӀвалах
485,туш,я,cop,"neg",туш
